a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;a57;a58;a59;a60;a61;a62;a63;a64;a65;a66;a67;a68;a69;a70;a71;a72;a73;a74;a75;a76;a77;a78
Rubus caesius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0
Rumex acetosa;2;2;0;0;0;1;0;0;0;0;2;0;0;1;0;2;0;2;0;2;0;0;2;0;2;2;2;3;0;2;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2
Salix sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix cinerea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix repens subsp. Rosmarinifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sanguisorba officinalis;2;3;2;2;2;3;2;3;0;0;3;0;4;4;3;0;0;0;3;4;7;4;0;0;0;0;0;0;7;0;4;0;0;0;0;0;3;7;3;0;4;4;0;0;0;4;3
Scrophularia umbrosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Scutellaria galericulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Selinum carvifolia;4;0;2;2;0;0;7;0;3;4;3;3;0;4;3;7;4;4;0;4;7;7;4;4;7;4;0;7;7;7;7;3;0;0;2;7;2;0;0;3;2;0;3;0;0;0;0
Serratula tinctoria;4;2;0;0;0;2;2;7;7;0;3;0;4;3;0;7;4;3;3;3;3;2;0;2;3;4;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;8;0;7;0
Silaum silaus;0;0;0;0;2;3;0;0;0;0;0;2;0;0;3;0;0;0;3;3;3;4;0;0;0;0;0;0;0;0;0;0;0;4;3;3;3;0;0;2;3;0;0;4;3;0;0
Stellaria graminea;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Succisa pratensis;0;0;0;0;0;0;0;3;3;7;0;0;0;0;0;0;2;3;0;0;0;2;0;3;8;0;3;0;0;4;7;0;0;0;0;3;2;2;0;3;2;0;0;0;0;3;0
Thalictrum flavum;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum lucidum;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus serpyllum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;2;3;0;0;0;2;2;0
Trifolium dubium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0
Trifolium medium;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trifolium montanum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;3;2;0
Trifolium pratense;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;2;2;0
Trifolium repens;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
Trollius europaeus;0;0;0;0;7;4;0;0;0;0;4;4;0;0;0;3;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;8;0;0;0;0;0;0;0;0;0;0
Urtica dioica ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valeriana officinalis;0;2;0;0;0;0;3;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;3;0;2;0;2;7;3;0;3;0;2;2;0;3;2;0;0;0;2;2;0;0;0;0;2
Veratrum lobelianum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica chamaedrys;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica scutellata;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vicia cracca;0;0;0;0;3;2;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;3
