Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Hypericum perforatum;ap;tri ger;0;7;6;5;4;6;4;-1.245;0.345;-0.505;0.338;0.358333333;303;8.724819986;147.3333333;26.42552505;Hemicryptophyte;0.118575;99171.42857;sv (by seed and vegetatively);c
Hypnum cupressiforme;sp;que rob-pet;0;5;NA;5;4;4;NA;NA;NA;NA;NA;0.06;NA;NA;NA;NA;moss;NA;NA;NA;NA
Hypochoeris radicata;ap;koe cor;0;8;5;3;5;4;3;-0.389;0.334;-0.161;0.368;0.065;116;109.0112367;2610.333333;22.21666667;Hemicryptophyte;0.632267143;4333.633333;ssv (mostly by seed, rarely vegetatively);csr
Impatiens parviflora;kn;art vul;0;4;6;5;5;NA;6;-1.7;0.347;-0.831;0.256;0.458333333;77.355;33.025;4675;144.775;Therophyte;6.892666667;2030.316667;s (by seed/by spore);sr
Juglans regia;kn;0;0;6;8;2;6;7;7;NA;NA;NA;NA;15;240;NA;3909.7;14.6;Phanerophyte;4753;NA;s (by seed/by spore);c
Juncus articulatus;ap;sch car;0;8;NA;3;9;NA;2;-0.517;0.262;-0.495;0.297;0.325;202.9525;52.28921447;485.4375;19.47043452;Hemicryptophyte;0.020611111;1212964.75;sv (by seed and vegetatively);csr
Juncus conglomeratus;ap;mol arr;0;8;5;3;7;4;3;-0.571;0.279;-0.353;0.306;0.72;284.18;490.1;2393;4.92;Hemicryptophyte;0.018123077;970042.7866;sv (by seed and vegetatively);c
Juncus effusus;ap;mol arr;0;8;5;3;7;3;4;-0.908;0.284;-0.531;0.304;0.9;267.85;575;3514.5;10.864;Hemicryptophyte;0.018607407;3512468.75;sv (by seed and vegetatively);c
Juniperus communis;sp;vac pic;0;8;NA;NA;4;NA;NA;-1.64;0.241;-0.82;0.18;6.02;510.01;NA;NA;7.087725716;Phanerophyte;8.76775;18751;s (by seed/by spore);c
Lamiastrum galeobdolon;sp;que fag;1;3;5;4;5;7;5;-1.941;0.256;-0.709;0.094;0.3875;270;68.18693031;1564;25.35;Chamaephyte;2.386657143;3156.357143;sv (by seed and vegetatively);cs
Lamium album;arch;art vul;0;7;NA;3;5;NA;9;-0.648;0.544;-0.561;0.551;0.316666667;170;42.65258479;1970.514;35.94;Hemicryptophyte;1.3449;2577.535714;sv (by seed and vegetatively);csr
Lamium purpureum;arch;art vul;0;7;5;3;5;7;7;-0.179;0.955;0.194;0.954;0.225;139.8;11.31880137;537.498;38.45;Hemicryptophyte;0.7016;3967.047619;s (by seed/by spore);r
Lapsana communis;ap;art vul;0;5;6;3;5;NA;7;-1.222;0.776;-0.361;0.751;0.5;127;98.97922854;4966;48.7325;Hemicryptophyte;1.0212;19552.47727;s (by seed/by spore);cr
Larix decidua;kn;0;0;8;NA;6;4;NA;3;-1.946;0.281;-0.719;0.114;35;279.75;NA;20.125;10.19247985;Phanerophyte;6.24;94400;s (by seed/by spore);c
Lathyrus pratensis;ap;mol arr;0;7;5;NA;6;7;6;-0.387;0.317;-0.224;0.343;0.566666667;273.6666667;6.958663343;158.3333333;25.32424035;Hemicryptophyte;12.51950556;541.55;ssv (mostly by seed, rarely vegetatively);c
Leucanthemum vulgare;ap;mol arr;0;7;NA;3;4;NA;3;-0.39;0.32;-0.193;0.347;0.364;129.6666667;27.12145302;669.6666667;19.28125189;Hemicryptophyte;0.383433333;2420.86875;sv (by seed and vegetatively);c
Ligustrum vulgare;kn;rha pru;0;7;6;3;4;8;3;-1.865;0.224;-0.912;0.077;3.7;273;NA;626.9;11.065;Phanerophyte;35.438425;21.84375;s (by seed/by spore);c
Lolium perenne;ap;mol arr;0;8;6;3;5;7;7;-0.004;0.673;-0.002;0.685;0.125;214.3975;14.52985953;402;25.74377707;Hemicryptophyte;1.975111111;62970.75;s (by seed/by spore);c
Lonicera periclymenum;sp;que rob-pet;0;6;5;2;NA;3;4;NA;NA;NA;NA;4.5;227;NA;803.9;14.2;Liana;6.054681633;NA;s (by seed/by spore);c
Lonicera xylosteum;sp;que fag;0;5;6;4;5;7;6;-1.949;0.226;-0.81;0.056;1.748666667;NA;NA;0;24.10941397;Phanerophyte;164.07;11000;s (by seed/by spore);c
Lophocolea bidentata;sp;que rob-pet;0;7;3;5;6;5;NA;NA;NA;NA;NA;0.06;NA;NA;NA;NA;moss;NA;NA;NA;NA
Lupinus polyphyllus;kn;0;0;7;5;4;5;4;NA;NA;NA;NA;NA;1.091666667;179.8125;990.1875;19200.25;22.83759248;Hemicryptophyte;24.34755556;944.4940475;s (by seed/by spore);c
Luzula multiflora;sp;0;0;7;NA;4;5;5;3;NA;NA;NA;NA;0.183333333;214;24.19486726;549;24.81721467;Hemicryptophyte;0.4007125;14490.90476;sv (by seed and vegetatively);cs
Luzula pilosa;sp;0;1;2;NA;3;5;5;4;-1.919;0.275;-0.716;0.123;0.15;228;26.46637744;664;25.1;Hemicryptophyte;0.9704;2336.106897;sv (by seed and vegetatively);csr
Lycopus europaeus;ap;aln;0;7;6;5;9;7;7;-0.971;0.249;-0.661;0.272;0.566666667;103.92;29.4;1814.75;63.18;Hemicryptophyte;0.233163636;9385.805556;sv (by seed and vegetatively);cs
Lysimachia nummularia;sp;mol arr;0;4;6;4;6;NA;NA;-1.238;0.292;-0.48;0.288;0.45;227.65;10.07904268;284.3333333;30.50359897;Chamaephyte;0.5;8156.666667;vvs (mostly vegetatively, rarely by seed);csr
Lysimachia vulgaris;sp;mol arr;0;6;NA;NA;8;NA;NA;-1.097;0.226;-0.635;0.239;0.896;242.6233333;95.08408684;2539.25;26.36571429;Hemicryptophyte;0.3224;21172.9;sv (by seed and vegetatively);cs
Mahonia aquifolium;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.166666667;432;1314.839972;10868;8.975;Chamaephyte;9.1485;6;sv (by seed and vegetatively);c
Maianthemum bifolium;sp;0;1;3;NA;6;5;3;3;-1.961;0.248;-0.701;0.077;0.125;240.685;1594.375;1574.25;33.14051282;Geophyte;46.8332;616.3688889;sv (by seed and vegetatively);s
Malus domestica;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;25.83979328;Chamaephyte;NA;NA;ssv (mostly by seed, rarely vegetatively);c
Malus sylvestris;sp;0;0;7;6;3;5;7;5;NA;NA;NA;NA;6;248.8;200.2542463;2910.14;18.75130719;Phanerophyte;23.634;2500;ssv (mostly by seed, rarely vegetatively);c
Marchantia polymorpha;sp;0;0;8;NA;5;6;5;NA;NA;NA;NA;NA;0.1;NA;NA;NA;NA;moss;NA;NA;NA;NA
Medicago sativa ssp. sativa;kn;0;0;8;6;6;4;7;NA;-0.083;0.649;-0.083;0.664;NA;218.6666667;29.18779232;1288;25.8;Hemicryptophyte;2.731333333;91144.66667;sv (by seed and vegetatively);cs
Melampyrum pratense;sp;tri ger;1;NA;NA;3;NA;3;2;-1.929;0.218;-1.099;0.084;0.24;205;7.49044586;240;26.28806585;Therophyte;5.66542;704.4261905;s (by seed/by spore);cr
Melica nutans;sp;que fag;1;4;NA;3;4;NA;3;-1.957;0.249;-0.74;0.078;0.225;340;12.91303491;402;28.725;Hemicryptophyte;2.492059259;2490.771429;sv (by seed and vegetatively);cs
Melica uniflora;sp;que fag;1;3;5;2;5;6;6;-1.98;0.235;-0.701;0.055;0.325;NA;NA;NA;39.6;Hemicryptophyte;2.899963636;NA;sv (by seed and vegetatively);c
Melilotus alba;ap;art vul;0;9;6;6;3;7;4;-0.241;0.616;-0.229;0.626;0.633333333;159.25;23.33;598;NA;Hemicryptophyte;2.8295;70978.15;s (by seed/by spore);cr
Milium effusum;sp;que fag;1;4;NA;3;5;5;5;-1.941;0.253;-0.709;0.091;0.625;251;48.94143984;1621.5;33.35;Hemicryptophyte;1.137;6875.943333;sv (by seed and vegetatively);cs
Mnium hornum;sp;que rob-pet;0;5;3;4;6;3;NA;NA;NA;NA;NA;0.07;NA;NA;NA;NA;moss;NA;NA;NA;NA
Moehringia trinervia;sp;art vul;1;4;5;3;5;6;7;-1.872;0.295;-0.803;0.154;0.175;179.3333333;2.397892544;81.33333333;36.1;Hemicryptophyte;0.21;1376.528571;s (by seed/by spore);csr
Molinia caerulea;sp;mol arr;0;7;NA;3;7;NA;2;-1.443;0.197;-0.959;0.188;0.7875;369.7166667;56.85673155;1286.625;19.665;Hemicryptophyte;0.714553846;34999.33334;ssv (mostly by seed, rarely vegetatively);cs
Mycelis muralis;sp;art vul;1;4;6;2;5;NA;6;-1.941;0.271;-0.724;0.109;0.5;NA;NA;NA;47.59238638;Hemicryptophyte;0.31632;7208.058334;s (by seed/by spore);csr
Myosoton aquaticum;ap;art vul;0;7;5;3;8;7;8;-1.001;0.474;-0.505;0.479;0.333333333;106.28;19.74666667;1048;63.94;Hemicryptophyte;0.20395;692356.75;sv (by seed and vegetatively);cs
Omalotheca sylvatica;ap;epi;0;8;NA;3;5;4;6;-1.235;0.387;-0.473;0.381;0.325;NA;NA;NA;23.91;Hemicryptophyte;0.0502;173887.1667;sv (by seed and vegetatively);csr
Orthilia secunda;sp;vac pic;1;4;NA;3;5;NA;2;-2;0.192;-0.699;0;0.0975;340.23;16.98;348;16.88701623;Chamaephyte;NA;2036.5;sv (by seed and vegetatively);s
Oxalis acetosella;sp;0;1;1;NA;3;5;4;6;-1.914;0.275;-0.712;0.125;0.0925;129.785;7.689057145;806;64.63;Hemicryptophyte;0.961;765.5377778;sv (by seed and vegetatively);csr
Parthenocissus inserta;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;220.24;708.54;13662.25;19.79;Liana;20.42;NA;s (by seed/by spore);c
Pastinaca sativa;ap;art vul;0;NA;NA;NA;NA;NA;NA;-0.223;0.532;-0.221;0.55;0.6;152;382.9752886;14914.5;32.93333333;Hemicryptophyte;3.903142857;71375;s (by seed/by spore);c
Petrorhagia prolifera;ap;fes bro;0;8;7;3;3;5;2;-0.019;0.315;-0.019;0.356;0.3875;231.15;3.345;58.25;17.63;Therophyte;0.350611429;1151.722222;s (by seed/by spore);sr
Peucedanum oreoselinum;ap;tri ger;0;6;6;4;3;6;2;-1.113;0.257;-0.318;0.264;0.5;259.32;283.915;4028.125;15.99;Hemicryptophyte;3.646;518;s (by seed/by spore);cs
Philadelphus species;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;Phanerophyte;NA;NA;s (by seed/by spore);c
Phleum pratense;ap;mol arr;0;7;NA;5;5;NA;7;-0.2;0.462;-0.185;0.484;0.371;276.1428571;9.907277134;380;25.02374373;Hemicryptophyte;0.58775;4230.984615;ssv (mostly by seed, rarely vegetatively);c
Phragmites australis;sp;phr;0;7;5;NA;10;7;7;-0.816;0.204;-0.66;0.242;2.5;403.1;348.3943855;6925.875;16.26;Geophyte;0.134285714;15467.7;vvs (mostly vegetatively, rarely by seed);cs
Picris hieracioides;ap;art vul;0;8;NA;5;4;8;4;-0.285;0.464;-0.176;0.484;0.6375;182.652;77.42508472;2327.55;24.74666667;Hemicryptophyte;1.108;2341.9375;s (by seed/by spore);csr
Pimpinella saxifraga;ap;fes bro;0;7;NA;5;3;NA;2;-0.862;0.272;-0.308;0.293;0.413333333;285.5;189.6;2609.5;16.06285714;Hemicryptophyte;1.149225;13910.25;s (by seed/by spore);cs
Pinus sylvestris;sp;vac pic;0;7;NA;7;NA;NA;NA;-1.945;0.221;-0.93;0.062;34.5;299.1142857;10.81;65.94285714;5.350330896;Phanerophyte;7.572;11196.5;s (by seed/by spore);c
Plagiomnium affine;sp;0;0;5;4;5;5;5;NA;NA;NA;NA;NA;0.1;NA;NA;NA;NA;moss;NA;NA;NA;NA
Plagiomnium undulatum;sp;que fag;0;4;3;5;6;6;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;moss;NA;NA;NA;NA
Plagiothecium cavifolium;sp;0;0;4;2;6;5;6;NA;NA;NA;NA;NA;0.05;NA;NA;NA;NA;moss;NA;NA;NA;NA
Plantago lanceolata;ap;mol arr;0;6;NA;3;NA;NA;NA;-0.157;0.421;-0.137;0.448;0.16125;166.90125;82.78745633;2567;18.55590909;Hemicryptophyte;1.616750877;10029.88611;ssv (mostly by seed, rarely vegetatively);csr
Plantago major;ap;mol arr;0;8;NA;NA;5;NA;6;-0.246;0.693;-0.039;0.704;0.37;107;1016.91327;30968;22.69866667;Hemicryptophyte;0.267838095;78230.20513;ssv (mostly by seed, rarely vegetatively);csr
Plantago major ssp. intermedia;ap;0;0;7;6;NA;7;5;4;-0.285;0.286;-0.162;0.319;NA;NA;NA;NA;NA;Hemicryptophyte;NA;NA;s (by seed/by spore);r
Pleurozium schreberi;sp;vac pic;0;6;3;5;4;2;NA;NA;NA;NA;NA;0.12;NA;NA;NA;NA;moss;NA;NA;NA;NA
Poa angustifolia;ap;fes bro;0;7;6;NA;NA;NA;3;NA;NA;NA;NA;0.36;424.5;57.41567697;429.5;15.55;Hemicryptophyte;0.209347887;165.9117647;sv (by seed and vegetatively);cs
Poa annua;ap;pol poe;0;7;NA;5;6;NA;8;-0.213;0.77;0.013;0.777;0.085;241.25;3.210767613;138.3333333;36.17405008;Therophyte;0.223701579;10234.41667;ssv (mostly by seed, rarely vegetatively);r
Poa compressa;ap;fes bro;0;9;NA;4;3;9;3;-0.59;0.509;-0.513;0.525;0.375;282.3333333;7.362884197;170;19.42;Hemicryptophyte;0.204577778;19450.3;sv (by seed and vegetatively);csr
Poa nemoralis;ap;que fag;1;5;NA;5;5;5;4;-1.871;0.282;-0.827;0.143;0.5;319;8.838643694;536.5;49.9;Hemicryptophyte;0.181745455;9484.508335;sv (by seed and vegetatively);csr
Poa pratensis;ap;mol arr;0;6;NA;NA;5;NA;6;-0.756;0.39;-0.337;0.405;0.3;308.59;35.79994805;1025;21.03958122;Hemicryptophyte;0.272595238;68147;sv (by seed and vegetatively);c
Pohlia nutans;sp;cal uli;0;5;NA;5;4;2;NA;NA;NA;NA;NA;0.068;NA;NA;NA;NA;moss;NA;NA;NA;NA
Polygonatum multiflorum;sp;que fag;1;2;NA;5;5;6;5;-1.981;0.224;-0.723;0.041;0.445;148.21;48.355;2038.25;43.84;Geophyte;94.42268571;47.16666667;sv (by seed and vegetatively);csr
Polygonatum odoratum;sp;que fag;1;7;5;5;3;7;3;-1.855;0.224;-0.776;0.092;0.3;167.22;86.835;2270;33.11140685;Geophyte;264.3043333;981.2833333;sv (by seed and vegetatively);csr
Polygonum aviculare s.l.;ap;0;0;7;6;NA;11;6;4;0.203;0.87;0.234;0.874;1.1375;207.5;13.00841664;361.5;28.87;Therophyte;1.82;31670.04168;sv (by seed and vegetatively);r
Polygonum hydropiper;ap;bid;0;7;6;NA;8;5;8;-0.698;0.538;-0.448;0.555;0.383333333;176;36.21174315;1407.6892;41.06666667;Therophyte;2.2218;9779.066666;s (by seed/by spore);cr
Polygonum minus;ap;bid;0;7;6;3;8;5;8;-0.9;0.317;-0.623;0.334;0.175;178.9825;10.3725;380.2744;44.085;Therophyte;0.946;132.625;s (by seed/by spore);r
Polypodium vulgare;sp;0;0;5;5;3;4;2;2;-1.837;0.216;-0.994;0.11;0.3;289;525.3311663;6246;12.35;Hemicryptophyte;NA;1000404.5;sv (by seed and vegetatively);cs
Polytrichastrum formosum;sp;que rob-pet;0;7;3;5;5;2;NA;NA;NA;NA;NA;0.1;NA;NA;NA;NA;moss;NA;NA;NA;NA
Polytrichum commune;sp;sch car;0;6;2;5;7;2;NA;NA;NA;NA;NA;0.25;NA;NA;NA;NA;moss;NA;NA;NA;NA
Polytrichum piliferum;sp;koe cor;0;9;NA;5;2;2;NA;NA;NA;NA;NA;0.045;NA;NA;NA;NA;moss;NA;NA;NA;NA
Populus alba;ap;sal;0;5;7;7;7;8;6;NA;NA;NA;NA;23.25;NA;NA;NA;11.15298086;Phanerophyte;0.12;NA;ssv (mostly by seed, rarely vegetatively);c
Populus tremula;ap;0;0;6;5;5;5;NA;NA;-1.813;0.277;-0.854;0.151;19.5;369.835;165.02125;2513.3125;14.6417103;Phanerophyte;0.1;NA;sv (by seed and vegetatively);c
Populus x canadensis;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.5;NA;NA;NA;NA;Phanerophyte;NA;NA;ssv (mostly by seed, rarely vegetatively);c
Potentilla erecta;sp;cal uli;0;6;NA;3;NA;NA;2;-0.962;0.213;-0.602;0.238;0.166666667;303.9566667;5.734158679;148.5;25.917831;Hemicryptophyte;0.4821375;3045.570175;sv (by seed and vegetatively);csr
Potentilla reptans;ap;mol arr;0;6;6;3;6;7;5;-0.425;0.45;-0.288;0.471;0.358333333;240.6475;53.72476489;2176.5;25.5124741;Hemicryptophyte;0.271025;26171.66667;sv (by seed and vegetatively);csr
Prunella vulgaris;ap;mol arr;0;7;NA;3;5;7;NA;-0.669;0.322;-0.265;0.345;0.123333333;164.37;16.10835126;675.3333333;29.84727273;Hemicryptophyte;0.688757143;5229.477778;sv (by seed and vegetatively);csr
Prunus avium;ap;que fag;0;4;5;4;5;7;5;-1.822;0.267;-0.904;0.135;12.24;NA;NA;NA;13.45;Phanerophyte;390.0449714;1;s (by seed/by spore);c
Prunus insititia;ap;0;0;NA;NA;NA;NA;NA;NA;-1.17;0.219;-0.956;0.196;3.166666667;NA;NA;NA;NA;Phanerophyte;NA;NA;ssv (mostly by seed, rarely vegetatively);c
Prunus mahaleb;kn;0;0;7;7;4;3;8;2;-1.555;0.25;-1.052;0.172;5;288.81;34.215;753.4;NA;Phanerophyte;87.7;NA;s (by seed/by spore);c
Prunus padus;sp;que fag;0;5;5;3;8;7;6;-1.921;0.263;-0.783;0.098;8;334.3175;183.1416667;3044.558;NA;Phanerophyte;137.5;4000.5;ssv (mostly by seed, rarely vegetatively);c
Prunus serotina;kn;0;0;6;6;NA;5;NA;NA;NA;NA;NA;NA;20.625;308.2533333;159.106;3396.25;NA;Phanerophyte;88.1;1;ssv (mostly by seed, rarely vegetatively);c
Prunus spinosa;ap;rha pru;0;7;5;5;4;7;NA;-1.542;0.238;-1.092;0.156;1.952;313.5;NA;472.25;14.04680023;Phanerophyte;448.2353556;1;sv (by seed and vegetatively);c
Pseudoscleropodium purum;sp;vac pic;0;6;4;5;4;5;NA;NA;NA;NA;NA;0.15;NA;NA;NA;NA;moss;NA;NA;NA;NA
Pteridium aquilinum;sp;que rob-pet;1;6;5;3;5;3;3;-1.825;0.381;-0.62;0.261;0.975;298;NA;NA;18.446;Geophyte;NA;300000000;sv (by seed and vegetatively);c
Pulmonaria obscura;sp;que fag;1;4;5;6;6;8;7;-1.957;0.243;-0.721;0.072;NA;142.505;191.665;6771.125;37.815;Hemicryptophyte;4.3;7.4;sv (by seed and vegetatively);csr
Pyrus communis;ap;0;0;6;6;5;5;8;NA;-1.816;0.219;-0.982;0.084;20;NA;NA;NA;7.407407407;Phanerophyte;25;NA;ssv (mostly by seed, rarely vegetatively);c
Quercus petraea;sp;0;0;6;6;2;5;NA;NA;-1.961;0.23;-0.744;0.056;36.14444444;281.25;NA;3500.325;12.576;Phanerophyte;974.7;13626.85;s (by seed/by spore);c
Quercus robur;ap;0;0;7;6;6;NA;NA;NA;-1.929;0.242;-0.774;0.08;40;280;NA;2073.533333;15.34191395;Phanerophyte;3487.466667;10040.9;s (by seed/by spore);c
Quercus rubra;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;285;NA;5084.9;13.8899105;Phanerophyte;3360.1;NA;s (by seed/by spore);c
Ranunculus auricomus;sp;que fag;1;5;6;3;NA;7;NA;-1.088;0.282;-0.304;0.285;0.175;152.5;38.80333282;1276.5;31.93333333;Geophyte;2.320323077;795.5701754;NA;NA
Ranunculus lanuginosus;sp;que fag;1;3;6;4;6;7;7;-1.891;0.277;-0.659;0.139;0.425;153.62;236.14;5917.375;NA;Hemicryptophyte;1.3;NA;NA;cs
Rhamnus catharticus;sp;rha pru;0;7;5;5;4;8;4;-1.718;0.242;-1.051;0.128;4.166666667;236;NA;695.1;NA;Phanerophyte;26.09664;4500;s (by seed/by spore);c
Rhizomnium punctatum;sp;mon car;0;3;3;4;6;4;NA;NA;NA;NA;NA;0.07;NA;NA;NA;NA;moss;NA;NA;NA;NA
Ribes alpinum;kn;que fag;0;5;4;4;NA;8;7;-1.894;0.247;-0.865;0.096;1.383333333;NA;NA;0;16.38650794;Phanerophyte;161.34335;2185;s (by seed/by spore);c
Ribes rubrum;ef;0;0;4;6;7;8;6;6;-1.862;0.281;-0.943;0.128;1.3;269.035;186.465;6206.25;28.23620401;Phanerophyte;9.162;36.70833333;s (by seed/by spore);c
Ribes uva-crispa;kn;0;1;4;5;2;NA;NA;6;-1.836;0.258;-0.97;0.118;0.733333333;226.715;9.695;803.075;22.23158457;Phanerophyte;3.1306;43.73684211;sv (by seed and vegetatively);c
Robinia pseudacacia;kn;art vul;0;5;6;4;4;NA;8;-1.373;0.269;-1.252;0.187;21.25;248;NA;962.1;NA;Phanerophyte;19.805;NA;sv (by seed and vegetatively);c
Rosa canina;ap;rha pru;0;8;5;3;4;NA;NA;-1.521;0.255;-1.056;0.184;1.666666667;NA;NA;NA;12.31774011;Phanerophyte;281.044625;22.5;s (by seed/by spore);c
Rubus caesius;ap;art vul;0;6;5;4;NA;8;7;-1.376;0.446;-0.635;0.417;0.475;386.6666667;553.5809809;9655.333333;19.3;Phanerophyte;3.7628451;206;sv (by seed and vegetatively);c
Rubus idaeus;ap;epi;0;7;NA;NA;NA;NA;6;-1.757;0.344;-0.76;0.245;1.2;283.78;110.95;NA;24.28140541;Phanerophyte;95.70412222;2439.835714;sv (by seed and vegetatively);c
Rubus species;ap;rha pru;0;NA;NA;NA;NA;NA;NA;-1.783;0.346;-0.809;0.232;NA;NA;NA;NA;15.13;Phanerophyte;NA;NA;sv (by seed and vegetatively);c
Rumex acetosa;ap;mol arr;0;8;NA;NA;NA;NA;6;-0.382;0.312;-0.222;0.338;0.505;102.11;128.532105;2014.9275;29.44306409;Hemicryptophyte;0.944641667;413.6941176;sv (by seed and vegetatively);c
Rumex acetosella;ap;koe cor;0;8;5;3;3;2;2;-0.982;0.484;-0.312;0.497;0.15;113.932;9.713070759;204.6666667;24.66853631;Geophyte;0.36007;3892.333333;sv (by seed and vegetatively);csr
Rumex crispus;ap;mol arr;0;7;5;3;7;NA;6;-0.137;0.706;-0.137;0.721;0.641666667;105;239.6959134;6290;24.09688414;Hemicryptophyte;2.324242857;16830.96667;sv (by seed and vegetatively);c
Sambucus nigra;ap;rha pru;0;7;5;3;5;NA;9;-1.769;0.284;-0.998;0.159;5.875;201;NA;1068.225;20.15574275;Phanerophyte;40.9057;5;s (by seed/by spore);c
Sanguisorba minor;sp;fes bro;0;7;6;5;3;8;2;-0.522;0.238;-0.301;0.269;0.208333333;311.1022222;159.720976;3124.25;20.50183333;Hemicryptophyte;4.242316667;2595.25;ssv (mostly by seed, rarely vegetatively);csr
Sanicula europaea;sp;que fag;1;4;5;3;5;8;6;-1.978;0.231;-0.701;0.052;0.275;198;70.91322567;2414;30.95;Hemicryptophyte;2.87321;30.3;NA;csr
Scrophularia nodosa;sp;que fag;1;4;5;3;6;6;7;-1.813;0.352;-0.662;0.238;0.583333333;182;313.5979769;8166;26;Geophyte;0.0952;43427.89286;sv (by seed and vegetatively);cs
Scutellaria galericulata;sp;aln;0;7;6;5;9;7;6;-0.994;0.214;-0.697;0.235;0.241666667;211.0433333;16.10609335;640.4166667;39.55;Hemicryptophyte;0.689433333;9077.333335;sv (by seed and vegetatively);csr
Sedum acre;ap;koe cor;0;8;6;3;2;NA;1;-0.571;0.295;-0.218;0.327;0.056666667;64;NA;NA;10.9;Chamaephyte;0.0384;337587.6733;sv (by seed and vegetatively);s
Sedum telephium ssp. maximum;ap;tri ger;0;8;6;4;3;5;3;NA;NA;NA;NA;NA;63;38.14976303;936;NA;Geophyte;0.04064;39313.75;s (by seed/by spore);cs
Senecio jacobaea;ap;tri ger;0;8;5;3;4;7;5;-0.487;0.264;-0.208;0.293;0.5;124.7425;270.044708;7365;25.49571429;Hemicryptophyte;0.327055833;18143.90625;ssv (mostly by seed, rarely vegetatively);c
Senecio sylvaticus;sp;epi;0;8;6;3;5;5;8;-1.495;0.525;-0.618;0.474;0.375;114;180.9838344;5336;29.5;Therophyte;0.241066667;34390.22222;s (by seed/by spore);cr
Silene alba;ap;art vul;0;8;6;NA;4;NA;7;-0.48;0.724;-0.356;0.728;0.475;142.5;78.06488661;1762.5;NA;Hemicryptophyte;0.964555556;63999.86666;ssv (mostly by seed, rarely vegetatively);c
Silene nutans;sp;tri ger;0;7;NA;5;3;7;3;-1.802;0.242;-0.677;0.135;0.316666667;168;60.25777716;1277;21.92333333;Hemicryptophyte;0.322707692;34716.43333;ssv (mostly by seed, rarely vegetatively);csr
Sisymbrium loeselii;kn;ste med;0;7;6;7;4;7;5;-0.294;0.843;-0.166;0.844;0.434;194.588;131.6606082;3960.1;18.006;Therophyte;0.1036;749902.6667;s (by seed/by spore);cr
Solanum dulcamara;ap;aln;0;7;5;NA;8;NA;8;-1.154;0.251;-0.749;0.256;0.866666667;170.5616667;82.3569254;1903.258333;34.656;Liana;29.89211029;4227.733334;sv (by seed and vegetatively);c
Solidago canadensis;kn;art vul;0;8;6;5;NA;NA;6;-0.585;0.592;-0.435;0.597;1.375;221;29.17434653;929;25.86666667;Hemicryptophyte;0.0668125;8499.428571;sv (by seed and vegetatively);c
Solidago gigantea;kn;art vul;0;8;6;5;6;NA;7;-0.869;0.544;-0.426;0.544;1.375;308;83.7088697;1517;20.25;Hemicryptophyte;0.0652;899445;sv (by seed and vegetatively);c
Solidago virgaurea;sp;cal uli;1;5;NA;NA;5;NA;4;-1.772;0.236;-0.718;0.144;0.5;227;94.48678888;2302.5;21.68530882;Hemicryptophyte;0.6059;7528.712121;sv (by seed and vegetatively);c
Sonchus arvensis;ap;0;0;7;5;NA;5;7;NA;0.259;0.945;0.259;0.948;0.875;138.6666667;549.5327909;12192;21.7;Hemicryptophyte;0.79525;16413.36667;sv (by seed and vegetatively);cr
Sonchus oleraceus;arch;ste med;0;7;6;NA;4;8;8;-0.098;0.883;-0.078;0.886;1.075;118.5;341.1361911;10611.5;40.52714286;Hemicryptophyte;0.325;36005.77778;s (by seed/by spore);cr
Sorbus aucuparia;ap;0;0;6;NA;NA;NA;4;NA;-1.913;0.256;-0.831;0.104;12.75;268.75;NA;637.05;14.44836705;Phanerophyte;121.4390444;8414;s (by seed/by spore);c
Sorbus intermedia;kn;0;0;6;5;2;NA;NA;NA;NA;NA;NA;NA;8.25;235.72;294.43;5382.635;15.62738095;Phanerophyte;583.716;NA;s (by seed/by spore);c
Spiraea species;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;NA;NA;NA;NA;Phanerophyte;NA;NA;s (by seed/by spore);c
Stachys sylvatica;sp;que fag;1;4;NA;3;7;7;7;-1.812;0.318;-0.673;0.205;0.491666667;207;59.95234081;2139.5;42.118;Hemicryptophyte;1.4016;1685.389286;sv (by seed and vegetatively);cs
Stellaria media;ap;ste med;0;6;NA;NA;NA;7;8;-0.877;0.858;-0.264;0.848;0.166666667;84;8.746235102;488;53.68107607;Therophyte;0.3852;7782.644444;s (by seed/by spore);cr
Symphoricarpos albus;kn;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.5;359.005;101.585;2274.25;19.364;Phanerophyte;7.667;NA;sv (by seed and vegetatively);c
