Species;hg;class;stare lasy;L;T;C;M;SR;N;wh_freq;wh_sev;herb_freq;herb_sev;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;growth_form;seed_mass;seed_number_per_shoot;reprod_B;strategy
Calamagrostis arundinacea;sp;que rob-pet;0;6;5;4;5;4;5;-1.902;0.272;-0.742;0.128;0.75;372.25;115.34;2457;22.78;Hemicryptophyte;0.494666667;4602.298485;sv (by seed and vegetatively);c
Calamagrostis epigeios;ap;epi;0;7;5;7;NA;NA;6;-1.228;0.428;-0.629;0.413;1;400.0333333;258.1944295;4994.5;NA;Hemicryptophyte;0.079733333;173453.0857;sv (by seed and vegetatively);c
Calluna vulgaris;sp;cal uli;0;8;NA;3;NA;1;1;-1.678;0.213;-1.248;0.185;0.826;287;NA;0.975;11.778;Chamaephyte;0.029111111;102770.15;ssv (mostly by seed, rarely vegetatively);cs
Calystegia sepium;ap;art vul;0;8;6;5;6;7;9;-0.722;0.385;-0.576;0.41;1.2875;184;90.88484689;3208;37.052;Liana;30.272;430.6875;sv (by seed and vegetatively);c
Campanula rotundifolia;ap;0;0;7;5;NA;NA;NA;2;-1.289;0.258;-0.542;0.254;0.19;257.05;3.902777172;72.975;24.52222222;Hemicryptophyte;0.064435714;195325.5136;s (by seed/by spore);csr
Campanula trachelium;sp;que fag;1;4;NA;3;6;8;8;-1.902;0.283;-0.739;0.135;0.6;159;92.24660086;3601;39;Hemicryptophyte;0.231155556;57190.65;sv (by seed and vegetatively);cs
Carex acutiformis;sp;phr;0;7;NA;3;9;7;5;-1.073;0.219;-0.669;0.235;0.75;333.43;430.7;7035;16;Geophyte;0.864166667;424;sv (by seed and vegetatively);cs
Carex cariophyllea;sp;fes bro;0;8;NA;3;4;NA;2;-0.87;0.241;-0.234;0.265;0.09;310;16.59364616;387.5;20.675;Hemicryptophyte;1.2992;54.6875;sv (by seed and vegetatively);csr
Carex hirta;ap;mol arr;0;7;6;3;6;NA;5;-0.435;0.33;-0.262;0.356;0.45;291.2125;74.8266342;1718.5625;18.2282603;Geophyte;2.8165;19315.875;sv (by seed and vegetatively);c
Carex muricata;ap;0;0;7;5;3;4;6;4;-1.718;0.305;-0.737;0.212;0.275;249.6333333;16.29;324.3333333;17.0666;Hemicryptophyte;2.38878;27900;ssv (mostly by seed, rarely vegetatively);cs
Carex pallescens;sp;cal uli;0;7;4;3;6;4;3;-1.115;0.292;-0.327;0.295;0.325;264.57;14.635;526.5;30.12;Hemicryptophyte;1.252583333;2957.33913;sv (by seed and vegetatively);csr
Carex pilosa;sp;que fag;1;4;6;5;5;5;5;-1.988;0.228;-0.7;0.044;0.45;299.55;175.99;4366.72;25.41;Hemicryptophyte;3.32;34;sv (by seed and vegetatively);cs
Carex pilulifera;sp;que rob-pet;0;5;NA;2;5;3;3;-1.593;0.293;-0.581;0.243;0.1;328;10.26045949;209;19.425;Hemicryptophyte;1.226612903;34.44642857;sv (by seed and vegetatively);csr
Carex spicata;ap;0;0;7;5;3;4;6;4;-1.718;0.305;-0.737;0.212;0.275;249.6333333;16.29;324.3333333;21.76;Hemicryptophyte;2.38878;27900;ssv (mostly by seed, rarely vegetatively);cs
Carex sylvatica;sp;que fag;1;2;5;3;5;6;5;-1.905;0.268;-0.668;0.124;0.425;324;29.75434925;677;30.9;Hemicryptophyte;1.663953846;736;sv (by seed and vegetatively);csr
Carpinus betulus;sp;que fag;0;4;6;4;NA;NA;NA;-1.969;0.228;-0.739;0.05;17.875;258.685;62.93;2268.52;23.67140917;Phanerophyte;41.81531429;64161.27273;ssv (mostly by seed, rarely vegetatively);c
Carum carvi;ap;mol arr;0;8;4;5;5;NA;6;-0.055;0.383;-0.055;0.408;0.45;178.51;50.53;1254.93;25.5825;Hemicryptophyte;1.924266667;19004.69167;s (by seed/by spore);c
Centaurium erythraea ssp. erythraea;ap;0;0;8;6;5;5;6;6;-0.744;0.285;-0.2;0.303;0.14125;259.8333333;11.91133597;251.5;21.80333333;Hemicryptophyte;0.012769231;1754100.714;s (by seed/by spore);sr
