ASW;Forests;Industrial;Water;Urban.dense;Urban.sparse;OLDFR;AFIS;Dryomas;Festgiga;Ficavern;Poanemo;Scronodo
12.66350014;70.75049333;1.929621453;0;11.79307623;0;oldforest;39;1;1;1;1;1
21.87393383;56.22211225;5.812017598;0;12.18699335;0;oldforest;34;1;1;1;1;1
2.154342817;85.88113857;0.703910245;5.394710896;2.187316095;0;oldforest;27;1;1;1;1;1
10.19013843;17.52330745;27.23762286;1.208389286;20.11876795;1.296123658;oldforest;4;0;0;0;1;0
13.13601967;6.233563434;24.77185833;0;32.95597927;0;oldforest;18;1;1;0;0;0
16.8959521;26.98240983;8.277895645;22.27610958;10.05393289;0;oldforest;21;1;1;1;1;1
1.16650814;44.5620815;8.289049066;8.64068299;1.245542552;2.23977616;oldforest;11;1;1;1;1;0
72.72522466;12.6135767;0.982179302;1.672287291;2.194466544;3.457514138;oldforest;11;1;1;0;0;1
22.95068282;40.96166923;7.781329614;5.427099522;6.892656653;0;oldforest;49;1;1;1;1;1
4.863947128;46.51146936;37.80168348;1.912638995;0;0;oldforest;7;1;0;1;0;1
0;60.15920387;6.442821853;6.895701564;3.415873627;0;oldforest;31;1;1;1;1;1
0;10.29073903;55.12364262;7.879185177;7.422377476;7.801779113;oldforest;15;1;1;1;1;1
4.214406304;17.59994393;18.07249063;11.56445572;24.76794856;0.462539023;oldforest;22;1;1;1;1;1
7.869839258;54.88834227;2.922051062;18.46817512;10.14012713;2.037059025;oldforest;26;1;1;1;1;1
2.063649841;36.08977992;19.31001307;1.993259194;1.362402488;0;oldforest;9;1;1;0;1;0
9.082410078;84.83261364;0.006278481;0;1.095794136;0.250843787;oldforest;7;0;0;0;1;0
1.206360689;87.65250851;0;0;8.19247073;0;oldforest;4;0;0;0;0;0
0;33.83514945;16.05038949;0;30.50349044;0;oldforest;8;0;0;0;1;0
13.54548111;38.36651644;11.84154034;0;25.09881511;0;oldforest;5;0;1;0;1;0
9.377361524;24.42640844;16.37482877;3.129327309;28.99478977;0.300058816;oldforest;0;0;0;0;0;0
0;24.75537956;6.942530605;27.03517374;9.603415231;0.50336142;oldforest;7;1;1;0;1;0
6.204944175;79.63608649;2.398965732;5.303335066;0;0.000175337;oldforest;6;0;0;0;1;1
4.188359429;61.71162986;4.167591194;12.51108741;10.38545385;0;oldforest;18;1;1;0;1;0
5.551696524;72.17387973;0;9.780484997;2.471995393;0;oldforest;12;0;0;0;1;1
13.27507701;23.03405317;23.14363934;0.303017088;18.04647301;0.725523602;oldforest;28;1;1;1;1;1
6.207664821;52.31005713;8.250616922;4.323653053;11.32003072;3.327855237;oldforest;10;1;1;0;0;0
0.335807508;87.13641405;6.610116167;0;0;0;oldforest;10;1;0;0;0;0
28.3822311;66.57092164;3.229302881;0;0;0.120602009;oldforest;28;0;1;1;1;0
60.23844497;31.6313079;0;0;1.295893195;3.498079659;oldforest;29;1;1;0;1;1
56.15277737;24.66238811;2.025464031;0;15.69697426;0;oldforest;20;1;1;1;1;0
46.46749741;52.63620272;0;0;0;0;oldforest;47;1;1;1;1;1
75.12656157;9.816585892;4.433248522;0;9.120823;0;oldforest;7;1;0;0;1;0
46.09012906;53.90987094;0;0;0;0;oldforest;25;0;0;1;1;1
22.95840506;71.03246028;0;0.494829076;0.756871199;0;oldforest;6;0;0;0;0;0
26.80590874;71.83551007;0;0;0.006451397;0;oldforest;18;1;1;1;0;1
48.72634597;44.15531548;0;0;5.051846885;0.314271465;oldforest;15;1;1;1;0;0
5.141195171;12.07101984;81.18831773;0;0;0;oldforest;0;0;0;0;0;0
49.47558631;20.01191311;7.46900878;0;6.767653677;0;oldforest;2;0;0;0;0;0
5.286583405;40.58132692;27.25195662;1.987235857;12.66745282;0;noforest;1;0;0;0;0;0
19.76696492;21.56320532;1.803721613;24.25858417;22.77115853;1.390621167;noforest;9;1;0;0;1;0
74.61227231;15.07818524;2.008617677;0;1.322373937;0;noforest;2;0;0;0;0;0
30.38063759;12.92790849;22.23540483;2.727257237;27.69794356;0.75637686;noforest;0;0;0;0;0;0
56.86278939;11.47570613;3.853734959;16.56452209;3.014142105;0.540575735;noforest;8;0;0;1;0;0
34.07567542;9.220707323;6.218344394;10.98182551;19.71819478;4.266600043;noforest;3;0;0;0;0;0
8.885652731;8.835305448;4.094855873;0;23.34663457;0;noforest;2;0;0;0;1;0
70.43065401;8.295172772;0.841864776;1.542692794;9.91211201;5.818147131;noforest;0;0;0;0;0;0
11.10701646;7.215561488;1.853206515;57.56619961;3.40151971;15.07013065;noforest;13;1;0;1;0;0
55.18226086;6.607028567;17.14628574;0;10.2343201;1.506707115;noforest;1;0;0;0;0;1
0;6.451132445;0;0;14.73666037;1.045372294;noforest;0;0;0;0;0;0
90.4601626;5.435837384;0;0;0;0;noforest;26;1;1;1;0;1
33.10299892;5.165359116;54.44782583;0;0;0;noforest;0;0;0;0;0;0
32.98731439;4.686364588;8.49585654;0;33.28672694;4.968852261;noforest;5;0;0;0;0;1
13.97763619;3.870040428;43.96261612;0;25.60741763;1.066031388;noforest;2;0;0;0;0;0
