habitat;shan
1;forest;2.27707084639562
2;forest;2.78026753312942
3;forest;2.52758350050907
4;forest;2.69039896642722
5;forest;2.48553212864165
6;forest;2.10107895385897
7;forest;2.49662450123777
8;forest;2.18080040465119
9;forest;2.75692955543086
10;forest;2.68058997012551
11;forest;2.0790555530163
12;forest;2.53145740857033
13;forest;2.39898023161146
14;forest;2.18069232422262
15;forest;2.17638735611897
16;forest;2.62408206859302
17;forest;2.52420097823305
18;forest;2.23334389207373
19;forest;2.40683204684947
20;forest;3.235137944016
21;forest;2.81338416113451
22;forest;2.91853350577945
23;forest;2.31863535102111
24;forest;2.35742859934751
25;forest;2.17313468557844
26;forest;2.76776364607284
27;forest;2.2506356253216
28;forest;3.16159188468532
29;non.forest;3.37673572047053
30;non.forest;2.71532069359775
31;non.forest;2.94476056199206
32;non.forest;2.6997692771787
33;non.forest;2.20682788639407
34;non.forest;2.9942792486473
35;non.forest;3.16856721970102
36;non.forest;2.71220282445344
37;non.forest;2.54701457663644
38;non.forest;2.84653382561607
39;non.forest;2.920524163541
40;non.forest;3.07379519629146
41;non.forest;2.23319511395139
42;non.forest;2.74095147349066
43;non.forest;2.77967086088212
44;non.forest;2.77967086088212
45;non.forest;3.16526692211677
46;non.forest;2.59264501380223
47;non.forest;2.33713971918802
48;non.forest;2.64985287270343
49;non.forest;3.2522254016727
50;non.forest;3.15661007295298
51;non.forest;3.10018679287896
52;non.forest;3.11575984319629
53;non.forest;2.81159038105574
54;non.forest;2.4244970220099
55;non.forest;3.06211323107229
56;non.forest;2.69062790036304
57;non.forest;2.66107767280473
58;non.forest;3.33467492022997
