time;Rich;Shan
206;new;13;2.48444964303622
207;hist;16;2.67235169799427
208;new;11;2.32121052425537
209;hist;30;3.30335298368937
210;new;29;3.27469460010971
211;hist;28;3.24572230613355
212;new;49;3.7926952850541
213;hist;35;3.46784470761351
214;new;40;3.6038516307522
215;hist;21;2.94901233066179
216;new;53;3.8800806126969
217;hist;33;3.41618201706774
218;new;53;3.88558957757235
219;hist;38;3.55819923988557
220;new;47;3.77433388879498
221;hist;25;3.1293640643829
222;new;45;3.70620125178837
223;hist;32;3.37432395750205
224;new;45;3.71011683371336
225;hist;17;2.7214846262452
226;new;12;2.40939596676782
227;hist;18;2.7970384511826
228;new;13;2.49610964818874
229;hist;21;2.9295686187776
230;new;13;2.49149372187944
231;hist;42;3.66282522940405
232;new;42;3.64441683368493
233;hist;24;3.07781680610243
234;new;48;3.77229366108159
235;hist;32;3.36774125817334
236;new;43;3.68565253232753
237;hist;24;3.06328841188295
238;new;51;3.82350182641232
239;hist;25;3.12004804083354
240;new;49;3.78780035552883
241;hist;31;3.33290633382613
242;new;45;3.72042815054316
243;hist;33;3.41383203710354
244;new;59;3.97454697188398
245;hist;37;3.5404658058732
246;new;56;3.92956797888883
247;hist;13;2.45158306052179
248;new;23;3.0434006718567
249;hist;10;2.18703290677101
250;new;19;2.86579523105015
251;hist;27;3.1891158871487
252;new;39;3.55234017381898
253;hist;27;3.20100789041607
254;new;38;3.55062771370267
255;hist;27;3.20518962190023
256;new;38;3.53436769750503
257;hist;25;3.1443140113476
258;new;41;3.60711602689992
259;hist;25;3.16130893065939
260;new;47;3.73843534038168
261;hist;23;3.04707422285593
262;new;46;3.74375424369327
263;hist;30;3.30968115981272
264;new;54;3.88373435542368
265;hist;24;3.078330965551
266;new;45;3.70850128914924
267;hist;28;3.23572886851279
268;new;39;3.56632390304455
269;hist;31;3.3372176562926
270;new;52;3.84266892521111
271;hist;32;3.36549887855421
272;new;49;3.77739483488648
273;hist;35;3.46985714126058
274;new;52;3.85449039665441
275;hist;25;3.11323129869344
276;new;57;3.94091598345537
277;hist;38;3.56884739588408
278;new;56;3.9219459269683
279;hist;25;3.11632498280021
280;new;33;3.42228500139826
281;hist;27;3.20796007754347
282;new;49;3.80679079801932
283;hist;37;3.53204274250595
284;new;61;4.03367331837198
285;hist;27;3.21289989368345
286;new;51;3.82657490689359
287;hist;32;3.38544735268181
288;new;62;4.02895669900643
