kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Mentha spicata;7;5;4;8;9;7;0.475;234.4;54.62655902;1057.6;22.5;NA;NA;NA;c (competitors);insect;0;Lamiaceae
nie;Mentha x piperita;8;7;NA;6;7;6;NA;NA;NA;NA;NA;NA;NA;NA;c (competitors);insect;0;Lamiaceae
niska;Mentha x verticillata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c (competitors);insect;0;Lamiaceae
niska;Menyanthes trifoliata;8;NA;NA;9;NA;3;0.176666667;193.7266667;211.286;4425.166667;23.67666667;perennials;2.97472;175.8306667;cs (competitors/stress-tolerators);selfing;Sch-Car;Menyanthaceae
wysoka;Mercurialis perennis;2;NA;3;NA;8;7;0.216666667;224.5;83.87061082;1890.5;25.68333333;perennials;5.551428571;409.3666666;cs (competitors/stress-tolerators);wind;Que-Fag;Euphorbiaceae
wysoka;Milium effusum;4;NA;3;5;5;5;0.625;251;48.94143984;1621.5;33.35;perennials;1.137;6875.943333;cs (competitors/stress-tolerators);wind;Que-Fag;Poaceae
nie;Miscanthus sacchariflorus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Poaceae
niska;Moehringia trinervia;4;5;3;5;6;7;0.175;179.3333333;2.397892544;81.33333333;36.1;mixed;0.21;1376.528571;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Caryophyllaceae
niska;Molinia caerulea;7;NA;3;7;NA;2;0.7875;369.7166667;56.85673155;1286.625;19.665;perennials;0.714553846;34999.33334;cs (competitors/stress-tolerators);wind;Mol-Arr;Poaceae
nie;Morus alba;NA;NA;NA;NA;NA;NA;5.5;NA;NA;NA;NA;NA;3.1;NA;NA;NA;0;Moraceae
nie;Muscari botryoides;7;5;4;5;NA;NA;0.15;94.33;51.85;1533;28.94;perennials;3.37;47.81818182;csr (competitors/stress-tolerators/ruderals);selfing;0;Liliaceae
niska;Mycelis muralis;4;6;2;5;NA;6;0.5;NA;NA;NA;47.59238638;perennials;0.31632;7208.058334;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Asteraceae
nie;Myosotis arvensis;6;6;5;5;NA;6;0.23;123;28.22270336;759.5;29.38;mixed;0.2927;19966.75;r (ruderals);selfing;Ste med;Boraginaceae
wysoka;Myosotis ramosissima;9;6;5;2;7;1;0.101666667;146.6666667;9.064327485;187;26.80857143;mixed;0.20185;191.5;sr (stress-tolerators/ruderals);selfing;Koe-Cor;Boraginaceae
niska;Myosotis scorpioides;7;NA;5;8;NA;5;0.278333333;142.6375;17.64523822;1086.0625;42.91767907;perennials;0.3013;17106.83333;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Boraginaceae
wysoka;Myosotis sparsiflora;5;6;6;6;7;7;0.225;NA;NA;NA;NA;NA;0.249;49477.33333;r (ruderals);selfing;Art vul;Boraginaceae
nie;Myosotis stricta;8;6;5;3;6;2;0.06;181.81;1.33;35.25;26.98;perennials;0.1249575;1237.323529;sr (stress-tolerators/ruderals);selfing;Ste med;Boraginaceae
nie;Myosotis sylvatica;6;NA;3;5;NA;7;0.216666667;146;19.72615528;613.3333333;29.68;perennials;0.53825;192;csr (competitors/stress-tolerators/ruderals);selfing;Epi ang;Boraginaceae
nie;Myosoton aquaticum;7;5;3;8;7;8;0.333333333;106.28;19.74666667;1048;63.94;perennials;0.20395;692356.75;cs (competitors/stress-tolerators);selfing;Art vul;Caryophyllaceae
niska;Myosurus minimus;8;7;5;7;6;5;0.0675;123.16;4.84;112;21.64233276;perennials;0.094033333;2516.7;r (ruderals);selfing;Iso-Jun;Ranunculaceae
wysoka;Myriophyllum spicatum;5;6;NA;12;9;7;1;240.22;3.8;33.825;24.96666667;NA;1.2705;4;NA;wind;Pot;Haloragaceae
wysoka;Myriophyllum verticillatum;5;6;5;12;7;8;1.125;NA;NA;NA;NA;NA;NA;NA;NA;wind;Pot;Haloragaceae
wysoka;Najas marina;5;6;4;12;9;6;NA;60.78;1.16;41.25;36.52;annuals;4.19;28.36363636;NA;NA;Pot;Najadaceae
wysoka;Nardus stricta;8;NA;3;NA;2;2;0.12;416.6666667;13.61826651;94.90958333;10.296;perennials;0.357236111;930.157778;cs (competitors/stress-tolerators);wind;Cal-Uli;Poaceae
wysoka;Nasturtium officinale;7;NA;3;10;7;7;0.24;97.5;29.09564568;1435;42.225;perennials;0.1932;NA;cs (competitors/stress-tolerators);selfing;Phr aus;Brassicaceae
nie;Nepeta cataria;8;7;3;4;7;7;0.566666667;189.9;13.13;390.5;31.38;perennials;0.57968;252;c (competitors);insect;Art vul;Lamiaceae
niska;Neslia paniculata;6;6;5;4;8;4;0.325;NA;NA;NA;NA;mixed;3.02;53890.625;r (ruderals);selfing;Ste med;Brassicaceae
niska;Nigella arvensis;8;7;5;3;9;3;0.23;174.8;8.135;188.54;26.23;annuals;2;345.5357143;sr (stress-tolerators/ruderals);selfing;Ste med;Ranunculaceae
wysoka;Nuphar lutea;8;6;4;11;7;6;0.03;168.555;1627.129464;26244.25;15.895;perennials;24.76116667;469.6875;NA;insect;Pot;Nympheaceae
wysoka;Nymphaea alba;8;6;3;11;7;5;0.03;181;2682.7;39342;14.7;perennials;1.901818182;1088.333333;NA;selfing;Pot;Nympheaceae
nie;Odontites verna;6;6;3;5;6;5;0.275;203.3333333;9.265396132;155;20.605;annuals;0.206942857;74028.38462;r (ruderals);selfing;Ste med;Scrophulariaceae
nie;Odontites vulgaris;6;6;3;5;7;5;NA;NA;NA;NA;NA;NA;NA;NA;r (ruderals);selfing;Mol-Arr;Scrophulariaceae
niska;Oenanthe aquatica;7;6;5;10;7;6;0.6;136.45;209.9533333;4890.25;29.55754444;mixed;2.7778;47100;cs (competitors/stress-tolerators);selfing;Phr aus;Apiaceae
wysoka;Oenanthe fistulosa;7;7;2;9;8;5;0.425;132.875;14.71666667;420.155;36.52282907;perennials;4.391114286;187.3636364;cs (competitors/stress-tolerators);insect;Phr aus;Apiaceae
nie;Oenothera biennis;9;7;3;4;NA;4;0.658333333;NA;NA;14200;15.701;mixed;0.578633333;110772.0667;cr (competitors/ruderals);selfing;Art vul;Onagraceae
nie;Oenothera depressa;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;cr (competitors/ruderals);selfing;0;Onagraceae
nie;Oenothera rubricaulis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;cr (competitors/ruderals);selfing;Art vul;Onagraceae
niska;Omalotheca sylvatica;8;NA;3;5;4;6;0.325;NA;NA;NA;23.91;perennials;0.0502;173887.1667;csr (competitors/stress-tolerators/ruderals);selfing;Epi ang;Asteraceae
niska;Onobrychis viciifolia;8;7;6;3;8;3;0.275;244.2425;164.0496566;3134.4375;18.828;perennials;20.11705;2710.416668;c (competitors);selfing;Fes-Bro;Fabaceae
wysoka;Ononis arvensis;8;6;7;4;7;2;0.5;NA;NA;NA;NA;perennials;4.935;NA;cs (competitors/stress-tolerators);insect;Mol-Arr;Fabaceae
nie;Ononis spinosa;8;6;5;4;7;3;0.275;NA;NA;NA;29.75;perennials;4.951107692;152;cs (competitors/stress-tolerators);insect;Fes-Bro;Fabaceae
nie;Onopordum acanthium;9;7;6;4;7;8;1.02;214.68;345.87;4928.5;14.25;perennials;11.874;15904.125;cr (competitors/ruderals);insect;Art vul;Asteraceae
wysoka;Ophioglossum vulgatum;7;6;3;7;7;2;0.125;110;60.01571214;1487;24.75;perennials;NA;NA;csr (competitors/stress-tolerators/ruderals);NA;Mol-Arr;Ophioglossaceae
wysoka;Origanum vulgare;7;NA;3;3;8;3;0.408333333;233;23.36623932;511;24.67295082;perennials;0.09555;108671.8334;csr (competitors/stress-tolerators/ruderals);insect;Tri-Ger;Lamiaceae
nie;Ornithogalum collinum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Fes-Bro;Liliaceae
nie;Ornithogalum nutans;6;7;4;4;7;7;0.325;NA;NA;NA;NA;perennials;NA;6;csr (competitors/stress-tolerators/ruderals);selfing;0;Liliaceae
nie;Ornithogalum umbellatum;6;6;4;5;7;7;0.2;83;116.99877;725;13.2;perennials;NA;525;csr (competitors/stress-tolerators/ruderals);selfing;0;Liliaceae
wysoka;Ornithopus perpusillus;7;6;2;3;2;2;0.19;193.3333333;7.550086296;236;25.75;mixed;1;NA;sr (stress-tolerators/ruderals);selfing;Koe-Cor;Fabaceae
nie;Ornithopus sativus;NA;NA;NA;NA;NA;NA;0.45;NA;NA;NA;NA;NA;3.65;NA;r (ruderals);selfing;0;Fabaceae
wysoka;Orthilia secunda;4;NA;3;5;NA;2;0.0975;340.23;16.98;348;16.88701623;perennials;NA;2036.5;s (stress-tolerators);selfing;Vac-Pic;Pyrolaceae
wysoka;Oxalis acetosella;1;NA;3;5;4;6;0.0925;129.785;7.689057145;806;64.63;perennials;0.961;765.5377778;csr (competitors/stress-tolerators/ruderals);selfing;0;Oxalidaceae
nie;Oxalis corniculata;7;7;NA;4;NA;6;0.15;149.72;2.62;220.78;41.34;perennials;0.1884;NA;r (ruderals);selfing;Pol-Poe;Oxalidaceae
nie;Oxalis deppei;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Oxalidaceae
nie;Oxalis europaea;7;7;3;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;r (ruderals);selfing;Ste med;Oxalidaceae
niska;Padus avium;5;5;3;8;7;6;8;334.3175;183.1416667;3044.558;NA;perennials;137.5;4000.5;c (competitors);selfing;Que-Fag;Rosaceae
nie;Padus serotina;6;6;NA;5;NA;NA;20.625;308.2533333;159.106;3396.25;NA;NA;88.1;1;c (competitors);wind;0;Rosaceae
nie;Padus virginiana;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;61.3;NA;c (competitors);insect;0;Rosaceae
nie;Panicum miliaceum;NA;NA;NA;NA;NA;NA;0.6;NA;NA;NA;NA;annuals;3.78;NA;cr (competitors/ruderals);wind;0;Poaceae
nie;Papaver argemone;6;6;2;4;5;5;0.20625;160;33.84762887;983;23.8;mixed;0.1716;1832.285714;r (ruderals);selfing;Ste med;Papaveraceae
nie;Papaver dubium;6;6;3;4;5;5;0.474;175.75;224.6422113;4627;23.98571429;mixed;0.1185;127392.1667;cr (competitors/ruderals);selfing;Ste med;Papaveraceae
nie;Papaver rhoeas;6;6;3;5;7;6;0.3675;143;166.8139511;4986.5;33.07;mixed;0.109333333;85750.83333;cr (competitors/ruderals);insect;Ste med;Papaveraceae
nie;Papaver somniferum;NA;NA;NA;NA;NA;NA;0.7;177.78;272;10398;38.23;mixed;0.454666667;2996.05;cr (competitors/ruderals);selfing;0;Papaveraceae
nie;Papaver strigosum;6;6;3;5;7;6;0.3675;143;166.8139511;4986.5;NA;mixed;0.109333333;85750.83333;cr (competitors/ruderals);insect;Ste med;Papaveraceae
wysoka;Paris quadrifolia;3;NA;4;6;7;7;0.2;176;37.85083333;1325;35;perennials;119.6368;209.4388889;csr (competitors/stress-tolerators/ruderals);wind;Que-Fag;Liliaceae
niska;Parnassia palustris;8;NA;NA;8;7;2;0.125;163.502;20.78059505;491.375;25.885;perennials;0.036076;1210;csr (competitors/stress-tolerators/ruderals);insect;Sch-Car;Parnassiaceae
nie;Parthenocissus inserta;NA;NA;NA;NA;NA;NA;10;220.24;708.54;13662.25;19.79;perennials;20.42;NA;c (competitors);insect;0;Vitaceae
nie;Parthenocissus quinquefolia;NA;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;perennials;NA;97.36363636;NA;NA;0;Vitaceeae
nie;Pastinaca sativa;NA;NA;NA;NA;NA;NA;0.6;152;382.9752886;14914.5;32.93333333;perennials;3.903142857;71375;c (competitors);insect;Art vul;Apiaceae
wysoka;Pedicularis palustris;8;NA;NA;9;NA;2;0.24;152.8;25;391.83;24.942;perennials;1.509176471;2603.444444;cs (competitors/stress-tolerators);selfing;Sch-Car;Scrophulariaceae
wysoka;Pedicularis sylvatica;7;5;2;8;1;2;0.123333333;162;1.028571429;12;11.55;perennials;0.895;3605.391667;csr (competitors/stress-tolerators/ruderals);selfing;Cal-Uli;Scrophulariaceae
niska;Petasites hybridus;NA;NA;NA;NA;NA;NA;0.575;201.5;7596.788734;139875;22.04;perennials;0.23038;970.9230769;cs (competitors/stress-tolerators);insect;0;Rosaceae
nie;Petrorhagia prolifera;8;7;3;3;5;2;0.3875;231.15;3.345;58.25;17.63;mixed;0.350611429;1151.722222;sr (stress-tolerators/ruderals);selfing;Fes-Bro;Caryophyllaceae
nie;Petroselinum crispum;NA;NA;NA;NA;NA;NA;0.575;NA;NA;NA;NA;perennials;1.128;NA;cr (competitors/ruderals);insect;0;Apiaceae
nie;Peucedanum oreoselinum;6;6;4;3;6;2;0.5;259.32;283.915;4028.125;15.99;perennials;3.646;518;cs (competitors/stress-tolerators);insect;Tri-Ger;Apiaceae
niska;Peucedanum palustre;7;6;6;9;NA;4;0.8575;212.9528571;587.3585714;9407.285714;20.09428571;perennials;2.861;102608.3333;cs (competitors/stress-tolerators);insect;Aln glu;Apiaceae
nie;Phacelia tanacetifolia;NA;NA;NA;NA;NA;NA;0.575;131.55;120.36;3123;29.31;annuals;1.199;2513.545455;r (ruderals);selfing;0;Boraginaceae
nie;Phalaris arundinacea;7;5;NA;8;7;7;1.45;263;128.7016232;3366;24.41430817;perennials;0.652637037;16414.33334;c (competitors);wind;Phr aus;Poaceae
nie;Phalaris canariensis;NA;NA;NA;NA;NA;NA;0.61;223.63;134.945;2894;21.84;annuals;6.113;770.6363636;r (ruderals);wind;0;Poaceae
nie;Phaseolus vulgaris;NA;NA;NA;NA;NA;NA;1.23;224.88;506.07;9225.625;17.245;annuals;455;18.375;NA;selfing;0;Fabaceae
nie;Philadelphus coronarius;NA;NA;NA;NA;NA;NA;2.75;NA;NA;NA;NA;NA;NA;NA;c (competitors);insect;0;Philadelphaceae
nie;Philadelphus species;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Hydragenaceae
wysoka;Phleum phleoides;8;6;7;3;8;2;0.3;319.39;17.74;322.75;17.4;perennials;0.15992;727.0909091;csr (competitors/stress-tolerators/ruderals);wind;Fes-Bro;Poaceae
nie;Phleum pratense;7;NA;5;5;NA;7;0.371;276.1428571;9.907277134;380;25.02374373;perennials;0.58775;4230.984615;c (competitors);wind;Mol-Arr;Poaceae
nie;Phrites australis;7;5;NA;10;7;7;2.5;403.1;348.3943855;6925.875;16.26;perennials;0.134285714;15467.7;cs (competitors/stress-tolerators);wind;Phr aus;Poaceae
nie;Physalis alkekengi;5;7;5;6;8;7;0.625;NA;NA;NA;32.73;perennials;1.558;NA;c (competitors);selfing;0;Solanaceae
nie;Picea abies;5;3;6;NA;NA;NA;50;NA;NA;NA;6.846285493;perennials;6.663666667;80374.5;c (competitors);wind;Vac-Pic;Pinaceae
nie;Picea pungens;NA;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;4.2;NA;c (competitors);wind;0;Pinaceae
nie;Picris hieracioides;8;NA;5;4;8;4;0.6375;182.652;77.42508472;2327.55;24.74666667;perennials;1.108;2341.9375;csr (competitors/stress-tolerators/ruderals);selfing;Art vul;Asteraceae
niska;Pimpinella major;7;5;2;5;7;6;0.658333333;207;325.4509541;9334;25.01;perennials;2.072397576;23188.95238;c (competitors);insect;Mol-Arr;Apiaceae
nie;Pimpinella saxifraga;7;NA;5;3;NA;2;0.413333333;285.5;189.6;2609.5;16.06285714;perennials;1.149225;13910.25;cs (competitors/stress-tolerators);insect;Fes-Bro;Apiaceae
nie;Pinus banksiana;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26.2;NA;NA;NA;NA;NA;0;Pinaceae
nie;Pinus nigra;7;7;4;3;9;2;40;NA;NA;NA;6.838954345;NA;23.9;NA;c (competitors);wind;0;Pinaceae
niska;Pinus sylvestris;7;NA;7;NA;NA;NA;34.5;299.1142857;10.81;65.94285714;5.350330896;perennials;7.572;11196.5;c (competitors);wind;Vac-Pic;Pinaceae
nie;Pisum sativum;NA;NA;NA;NA;NA;NA;0.65;NA;NA;NA;20.75;NA;234.5426667;NA;cr (competitors/ruderals);selfing;Ste med;Fabaceae
nie;Plantago arenaria;8;7;5;4;7;5;0.33;164.96;5.47;92.25;16.2;perennials;1.06;396.2954545;r (ruderals);wind;Ste med;Plantaginaceae
nie;Plantago intermedia;7;6;NA;7;5;4;NA;NA;NA;NA;NA;NA;NA;NA;r (ruderals);wind;0;Plantaginaceae
nie;Plantago lanceolata;6;NA;3;NA;NA;NA;0.16125;166.90125;82.78745633;2567;18.55590909;mixed;1.616750877;10029.88611;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Plantaginaceae
nie;Plantago major;8;NA;NA;5;NA;6;0.37;107;1016.91327;30968;22.69866667;mixed;0.267838095;78230.20513;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Plantaginaceae
nie;Plantago media;7;NA;7;4;7;3;0.171666667;145.3333333;297.7349642;4827.666667;19.22133508;perennials;0.385075;1664.682857;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Plantaginaceae
wysoka;Platanthera bifolia;6;NA;3;5;7;NA;0.16;112.29;95.52;2532.75;26.44967136;perennials;NA;4.166666667;csr (competitors/stress-tolerators/ruderals);insect;Que-Fag;Orchideaceae
nie;Poa angustifolia;7;6;NA;NA;NA;3;0.36;424.5;57.41567697;429.5;15.55;perennials;0.209347887;165.9117647;cs (competitors/stress-tolerators);wind;Fes-Bro;Poaceae
nie;Poa annua;7;NA;5;6;NA;8;0.085;241.25;3.210767613;138.3333333;36.17405008;mixed;0.223701579;10234.41667;r (ruderals);wind;Pol-Poe;Poaceae
nie;Poa bulbosa;8;7;7;3;5;2;0.11;215.06;0.8;16.08;21.09;NA;0.404312;191.9411765;sr (stress-tolerators/ruderals);wind;Fes-Bro;Poaceae
nie;Poa compressa;9;NA;4;3;9;3;0.375;282.3333333;7.362884197;170;19.42;perennials;0.204577778;19450.3;csr (competitors/stress-tolerators/ruderals);wind;Fes-Bro;Poaceae
nie;Poa nemoralis;5;NA;5;5;5;4;0.5;319;8.838643694;536.5;49.9;perennials;0.181745455;9484.508335;csr (competitors/stress-tolerators/ruderals);wind;Que-Fag;Poaceae
nie;Poa palustris;7;5;5;9;8;7;0.8175;334.45;1.3;55;27.99822435;perennials;0.15525;NA;cs (competitors/stress-tolerators);wind;Mol-Arr;Poaceae
nie;Poa pratensis;6;NA;NA;5;NA;6;0.3;308.59;35.79994805;1025;21.03958122;perennials;0.272595238;68147;c (competitors);wind;Mol-Arr;Poaceae
nie;Poa trivialis;6;NA;3;7;NA;7;NA;252.36;7.074666339;237.8333333;30.97712552;NA;0.164933333;299.5;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Poaceae
wysoka;Polygala amarella;9;NA;4;9;9;1;0.05375;189.53;3.4925;63.64;20.68333333;perennials;0.84;200.9230769;csr (competitors/stress-tolerators/ruderals);selfing;Sch-Car;Polygalaceae
wysoka;Polygala comosa;8;6;6;3;8;2;0.053333333;221.1033333;2.441479592;53.5425;20.29;perennials;1.746914286;36.38461538;csr (competitors/stress-tolerators/ruderals);selfing;Fes-Bro;Polygalaceae
wysoka;Polygala oxyptera;NA;NA;NA;NA;NA;NA;0.115;NA;NA;NA;NA;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);selfing;Cal-Uli;Polygalaceae
wysoka;Polygala vulgaris;7;NA;3;4;3;2;0.115;NA;NA;NA;18.41842878;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);selfing;Cal-Uli;Polygalaceae
wysoka;Polygonatum multiflorum;2;NA;5;5;6;5;0.445;148.21;48.355;2038.25;43.84;NA;94.42268571;47.16666667;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Liliaceae
wysoka;Polygonatum odoratum;7;5;5;3;7;3;0.3;167.22;86.835;2270;33.11140685;perennials;264.3043333;981.2833333;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Liliaceae
nie;Polygonum amphibium;7;6;NA;11;6;4;0.433333333;242.2425;167.1892756;2874.875;16.94623945;perennials;4.1845;40.5;cs (competitors/stress-tolerators);insect;0;Polygonaceae
nie;Polygonum aviculare;7;6;NA;4;NA;6;1.1375;207.5;13.00841664;361.5;28.87778152;annuals;1.82;31670.04168;r (ruderals);selfing;Ste med;Polygonaceae
niska;Polygonum bistorta;7;4;7;7;5;5;0.383333333;156;556.2365039;18021;24.76333333;perennials;5.479;152.5;cs (competitors/stress-tolerators);selfing;Mol-Arr;Polygonaceae
wysoka;Polygonum brittingeri;8;6;5;7;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;sr (stress-tolerators/ruderals);selfing;Bid tri;Polygonaceae
nie;Polygonum hydropiper;7;6;NA;8;5;8;0.383333333;176;36.21174315;1407.6892;41.06666667;annuals;2.2218;9779.066666;cr (competitors/ruderals);selfing;Bid tri;Polygonaceae
niska;Polygonum minus;7;6;3;8;5;8;0.175;178.9825;10.3725;380.2744;44.085;annuals;0.946;132.625;r (ruderals);selfing;Bid tri;Polygonaceae
wysoka;Polygonum mite;7;6;3;8;6;7;0.325;173.035;11.3;1609.849;34.375;annuals;1.391;29.18181818;cr (competitors/ruderals);selfing;Bid tri;Polygonaceae
nie;Polygonum nodosum;6;6;4;8;NA;8;0.7375;227.25;185.5057085;3858.7145;NA;annuals;2.25;7802.375;cr (competitors/ruderals);selfing;Bid tri;Polygonaceae
nie;Polygonum persicaria;6;6;3;5;7;7;0.383333333;203;110.34128;2347.5;25.72857143;annuals;2.12;2481.428571;cr (competitors/ruderals);selfing;Ste med;Polygonaceae
nie;Polygonum tomentosum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;cr (competitors/ruderals);selfing;Ste med;Polygonaceae
wysoka;Polypodium vulgare;5;5;3;4;2;2;0.3;289;525.3311663;6246;12.35;NA;NA;1000404.5;cs (competitors/stress-tolerators);selfing;0;Polypodiaceae
nie;Populus alba;5;7;7;7;8;6;23.25;NA;NA;NA;11.15298086;NA;0.12;NA;c (competitors);wind;Sal pur;Salicaceae
nie;Populus 'NE 42';NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Salicaceae
nie;Populus nigra;5;6;6;8;7;7;25;304.965;240.4625;2784.625;10.94;perennials;0.8;68119;c (competitors);wind;Sal pur;Salicaceae
nie;Populus nigra 'Italica';NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Salicaceae
nie;Populus tremula;6;5;5;5;NA;NA;19.5;369.835;165.02125;2513.3125;14.6417103;perennials;0.1;NA;c (competitors);wind;0;Salicaceae
nie;Populus x canadensis;NA;NA;NA;NA;NA;NA;22.5;NA;NA;NA;NA;perennials;NA;NA;c (competitors);wind;0;Salicaceae
nie;Populus x canescens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;c (competitors);wind;Sal pur;Salicaceae
nie;Portulaca oleracea;7;8;3;4;7;7;0.166666667;108.92;1.395;25.725;19.465;annuals;0.33592;280576.4583;r (ruderals);wind;Ste med;Portulacaceae
wysoka;Potamogeton acutifolius;7;6;4;11;5;6;NA;288.57;1.46;94.75;65;NA;3.0992;NA;NA;wind;Pot;Potamogetonaceae
niska;Potamogeton crispus;6;5;3;12;7;5;NA;149.3333333;3.485724345;192.3333333;60.56666667;mixed;NA;4;NA;wind;Pot;Potamogetaceae
wysoka;Potamogeton friesii;5;6;5;11;7;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;wind;Pot;Potamogetonaceae
wysoka;Potamogeton lucens;6;6;4;12;6;7;NA;182.33;36.52;2221.5;66.51;NA;4.8698;72.6;NA;wind;Pot;Potamogetonaceae
wysoka;Potamogeton natans;6;5;5;11;7;5;0.02;205.4833333;116.0395018;2783.083333;27.516;NA;5.137633333;4;NA;wind;Pot;Potamogetaceae
wysoka;Potamogeton obtusifolius;6;6;3;12;6;6;NA;254.77;2.46;170.17;67.86;NA;2.89876;0;NA;wind;Pot;Potamogetonaceae
nie;Potamogeton pectinatus;6;NA;5;12;8;8;NA;198.415;0.591232877;19.625;44.905;NA;5.27;139.8333334;NA;wind;Pot;Potamogetonaceae
wysoka;Potamogeton perfoliatus;6;NA;NA;12;7;6;NA;184.81;7.79;642.5;86.18;NA;3.2164;1680;NA;wind;Pot;Potamogetonaceae
wysoka;Potamogeton pusillus;6;5;5;12;6;NA;NA;319.53;0.396666667;33.11;76.63;NA;0.908181818;NA;NA;wind;Pot;Potamogetaceae
wysoka;Potentilla alba;6;6;5;4;5;5;0.125;329.55;111.0875;1563.075;14.71;NA;0.6;NA;csr (competitors/stress-tolerators/ruderals);selfing;Que-Fag;Rosaceae
nie;Potentilla anserina;7;6;NA;6;NA;7;0.131666667;232.175;143.5934;6700.333333;23.28705969;perennials;0.893866667;56.44;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Rosaceae
nie;Potentilla argentea;9;6;3;2;3;1;0.252;262;31.58222222;527;16.7;perennials;0.101636364;158044.3929;cs (competitors/stress-tolerators);selfing;Koe-Cor;Rosaceae
nie;Potentilla cinerea;9;7;6;1;8;1;0.085;361.915;24.8;333.8;13.24;NA;NA;NA;s (stress-tolerators);selfing;0;Rosaceae
niska;Potentilla collina;9;7;4;2;2;1;NA;NA;NA;NA;NA;NA;NA;NA;csr (competitors/stress-tolerators/ruderals);insect;Koe-Cor;Rosaceae
nie;Potentilla erecta;6;NA;3;NA;NA;2;0.166666667;303.9566667;5.734158679;148.5;25.917831;perennials;0.4821375;3045.570175;csr (competitors/stress-tolerators/ruderals);insect;Cal-Uli;Rosaceae
wysoka;Potentilla heptaphylla;7;5;4;3;9;2;0.1;368.36;47.93;672.5;15.87;perennials;0.6;113.5;csr (competitors/stress-tolerators/ruderals);selfing;Fes-Bro;Rosaceae
nie;Potentilla inclinata;9;7;5;2;6;1;0.25;NA;NA;NA;NA;NA;0.352666667;NA;cs (competitors/stress-tolerators);insect;0;Rosaceae
niska;Potentilla palustris;8;NA;NA;9;3;2;0.35;264.86;115.855;1944.25;18.99666667;perennials;0.4414;914.25;cs (competitors/stress-tolerators);selfing;Sch-Car;Rosaceae
nie;Potentilla recta;6;NA;3;NA;NA;2;0.4;302.315;150.5518123;2602.5;17.315;perennials;0.248466667;54337.75;cs (competitors/stress-tolerators);selfing;Cal-Uli;Rosaceae
nie;Potentilla reptans;6;6;3;6;7;5;0.358333333;240.6475;53.72476489;2176.5;25.5124741;perennials;0.271025;26171.66667;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Rosaceae
niska;Potentilla supina;7;7;5;8;6;7;0.25;NA;NA;NA;NA;NA;0.065166667;191666;sr (stress-tolerators/ruderals);insect;Iso-Jun;Rosaceae
wysoka;Primula veris;7;NA;3;4;8;3;0.133333333;214.6666667;245.1411615;4080.666667;18.66666667;perennials;0.803173333;12248.36667;csr (competitors/stress-tolerators/ruderals);insect;0;Primulaceae
nie;Prunella vulgaris;7;NA;3;5;7;NA;0.123333333;164.37;16.10835126;675.3333333;29.84727273;mixed;0.688757143;5229.477778;csr (competitors/stress-tolerators/ruderals);selfing;Mol-Arr;Lamiaceae
nie;Prunus cerasifera;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;454.5;NA;c (competitors);insect;0;Rosaceae
nie;Prunus insititia;NA;NA;NA;NA;NA;NA;3.166666667;NA;NA;NA;NA;perennials;NA;NA;c (competitors);selfing;0;Rosaceae
