kategoria;spec;L;T;C;M;SR;N;canopy_height;leaf_dmc;leaf_mass;leaf_size;SLA;life_span;seed_mass;seed_number_per_shoot;strategy;dominant_pollinator;class;fam
nie;Impatiens glandulifera;5;7;2;8;7;7;1.333333333;137;312.1263844;11910;38.3;annuals;13.32622778;3996.833334;cr (competitors/ruderals);insect;Art vul;Balsaminaceae
wysoka;Impatiens noli-tangere;4;5;5;7;7;6;0.416666667;145;47.60202285;1649;45.38148148;annuals;6.169974359;864.6518518;sr (stress-tolerators/ruderals);selfing;Que-Fag;Balsaminaceae
nie;Impatiens parviflora;4;6;5;5;NA;6;0.458333333;77.355;33.025;4675;144.775;annuals;6.892666667;2030.316667;sr (stress-tolerators/ruderals);selfing;Art vul;Balsaminaceae
nie;Inula britannica;8;6;5;7;8;5;0.35;160.87;51.52;2575;28.03476726;perennials;0.08725;1309.574074;csr (competitors/stress-tolerators/ruderals);insect;Mol-Arr;Asteraceae
niska;Iris pseudacorus;7;6;3;9;NA;7;0.75;180.8633333;1371.251832;20873.75;15.9975;perennials;46.86421111;2466.222222;cs (competitors/stress-tolerators);insect;Phr aus;Iridaceae
wysoka;Iris sibirica;8;6;5;8;6;2;0.525;231.85;77.46;1208.75;15.51;perennials;13.90766667;NA;cs (competitors/stress-tolerators);insect;Mol-Arr;Iridaceae
nie;Iris sp.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Iridaceae
nie;Isatis tinctoria;8;7;7;3;8;3;0.65;154.525;98.2175;1459.375;18.54;perennials;4.319;8224.125;cs (competitors/stress-tolerators);insect;0;Brassicaceae
nie;Iva xanthiifolia;9;7;8;4;7;6;1.265;168.85;477.1025;11629.645;NA;NA;0.968;34226.54167;cr (competitors/ruderals);wind;Ste med;Asteraceae
nie;Jasione montana;7;6;3;3;3;2;0.15;210;0.95;36.5;36.33;perennials;0.028960408;1342741;csr (competitors/stress-tolerators/ruderals);insect;Koe-Cor;Campanulaceae
nie;Juglans nigra;NA;NA;NA;NA;NA;NA;22.5;NA;NA;NA;NA;perennials;12500;NA;NA;NA;0;Juglandaceae
nie;Juglans regia;6;8;2;6;7;7;15;240;NA;3909.7;14.6;perennials;4753;NA;c (competitors);wind;0;Juglandaceae
nie;Juncus articulatus;8;NA;3;9;NA;2;0.325;202.9525;52.28921447;485.4375;19.47043452;perennials;0.020611111;1212964.75;csr (competitors/stress-tolerators/ruderals);wind;Sch-Car;Juncaceae
nie;Juncus bufonius;7;5;NA;7;3;4;NA;136.5;4.551327348;80.5;17.86936322;annuals;0.025126364;926909.0417;r (ruderals);wind;Iso-Jun;Juncaceae
niska;Juncus capitatus;8;7;3;7;4;3;0.065;NA;NA;NA;NA;annuals;0.017575;NA;r (ruderals);wind;Iso-Jun;Juncaceae
nie;Juncus compressus;8;5;3;8;7;5;0.225;321;27.89433962;315;14.7;perennials;0.013977778;1407;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Juncaceae
nie;Juncus conglomeratus;8;5;3;7;4;3;0.72;284.18;490.1;2393;4.92;perennials;0.018123077;970042.7866;c (competitors);wind;Mol-Arr;Juncaceae
nie;Juncus effusus;8;5;3;7;3;4;0.9;267.85;575;3514.5;10.864;perennials;0.018607407;3512468.75;c (competitors);wind;Mol-Arr;Juncaceae
nie;Juncus inflexus;8;5;3;7;8;4;0.45;322.41;688.765;2219.25;3.785;perennials;0.075383478;98;c (competitors);wind;Mol-Arr;Juncaceae
nie;Juncus ranarius;9;6;NA;8;4;3;0.125;176.47;0.58;13.2;26.51;annuals;0.021666667;NA;r (ruderals);wind;Jun mar;Juncaceae
wysoka;Juncus subnodulosus;8;6;2;8;9;3;0.725;189;507.0784722;2080;6.6;perennials;0.01532;385;cs (competitors/stress-tolerators);wind;Sch-Car;Juncaceae
nie;Juncus tenuis;6;6;3;6;5;5;0.4075;109.57;14.45;276.5;13.44370066;mixed;0.0185;2769538.667;csr (competitors/stress-tolerators/ruderals);wind;Mol-Arr;Juncaceae
wysoka;Juniperus communis;8;NA;NA;4;NA;NA;6.02;510.01;NA;NA;7.087725716;perennials;8.76775;18751;c (competitors);wind;Vac-Pic;Cupressaceae
nie;Knautia arvensis;7;6;3;4;NA;4;0.433333333;183.6666667;140.7851567;2871.333333;20.05257732;perennials;4.131557576;2290.182353;c (competitors);selfing;Tri-Ger;Dipsacaceae
nie;Kochia scoparia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;cr (competitors/ruderals);wind;Ste med;Chenopodiacee
wysoka;Koeleria glauca;7;7;7;3;8;1;0.085;365;11.365;148.25;12.79;perennials;0.172;254.8333333;cs (competitors/stress-tolerators);wind;Koe-Cor;Poaceae
wysoka;Koeleria macrantha;7;6;7;3;8;2;0.0727;327;46.87751479;454;11.807;NA;0.274142857;49580;cs (competitors/stress-tolerators);wind;Koe-Cor;Poaceae
