bio1_16;bio2_16;bio3_16;bio4_16;bio5_16;bio6_16;bio7_16;bio8_16;bio9_16;bio10_16;bio11_16;bio12_16;bio13_16;bio14_16;bio15_16;bio16_16;bio17_16;bio18_16;bio19_16;osmunda
90;78;26;7533;242;-47;289;183;1;183;-12;551;70;29;27;191;95;191;110;1
78;84;26;8212;238;-80;318;177;-20;177;-35;570;84;26;42;233;81;233;87;1
78;65;24;7308;220;-49;269;163;23;169;-18;653;76;33;27;222;105;201;134;1
79;86;26;8131;239;-80;319;177;-19;177;-34;613;90;28;41;250;90;250;96;1
74;76;25;7934;230;-71;301;171;22;171;-34;598;79;29;29;213;98;213;115;1
88;67;24;7400.5;230;-43;273;173;32;179;-11;581;68;28;23;187;100;183;116;1
86;73;27;7101.5;228;-41;269;175;1;175;-8;547.5;65;28;22;178;99;178;110;1
89;72;26;7146;230;-38;268;178.5;4;178.5;-5;540.5;62;28;22;174;99;174;109;1
84;88;30;7041;235;-49;284;172.5;1;172.5;-9;582;81;28;38;229;88;229;96;1
84;89;30;7259;237;-56;293;174;-1;174;-13;536;78;25;38;211;79;211;86;1
78;83;26;8041.5;235;-76;311;173;-16;173;-36;577;83;27;39;228;87;228;93;1
84;86;29;7449;238;-56;294;176;-5;176;-17;526;75;24;36;204;78;204;87;1
87;70;26;7137;227;-39;266;176;34;176;-7;548;63;28;21;175;99;175;111;1
75;64;24;7143;214;-48;262;158;20;163;-20;645;75;33;27;221;103;200;132;1
84;85;28;7648.5;241;-59;300;178;-7;178;-19.5;530;75;25;37;205;79;205;88;1
81;85;27;8056;240;-74;314;179;-15;179;-30;564;84;26;42;231;81;231;86;1
84;85;28;7726;241;-60;301;179;-8;179;-21;542;77;25;37;211;81;211;90;1
71;77;24;8506;234;-85;319;174;-32;174;-45;634;80;27;32;232;96;232;112;1
75;85;27;7845;229;-79;308;169;-19;169;-34;640;92;29;41;259;94;259;99;1
84;86;28;7591.5;241;-58;299;178;-6;178;-19;512;73;23;36;197;75;197;85;1
84;85;27;7802;244;-61;305;180;-9;180;-21;519;74;23;37;201;76;201;85;1
74;85;26;8404;237;-89;327;175;-28;175;-44;611;89;28;40;247;89;247;96;1
89;69;25;7211;229;-38;267;179.5;36;179.5;-6;545;62;28;21;174;98;174;111;1
71;63;23;7164;211;-52;263;155;16;160;-24;650;77;33;27;223;103;206;132;1
74;62;24;7015;213;-45;258;157;18;163;-17;616;73;31;28;213;96;197;125;1
75;85;27;7864;229;-79;308;168;-19;168;-35;633.5;91;29;41;256;94;256;99;1
78;84;26;8184;237;-79;317;176;-20;176;-35;572;84;26;42;233;81;233;87;1
89;70;26;7213.5;229;-38;268;179;35;179;-6;544;62;28;21;174;98;174;110;1
