"station";"date";"temp";"day";"month";"year"
"95";"Kasprowy Wierch";1966-04-05;-2.5;5;4;1966
"96";"Kasprowy Wierch";1966-04-06;-0.4;6;4;1966
"97";"Kasprowy Wierch";1966-04-07;0.1;7;4;1966
"98";"Kasprowy Wierch";1966-04-08;0.6;8;4;1966
"99";"Kasprowy Wierch";1966-04-09;-0.4;9;4;1966
"100";"Kasprowy Wierch";1966-04-10;-0.1;10;4;1966
"101";"Kasprowy Wierch";1966-04-11;0.1;11;4;1966
"102";"Kasprowy Wierch";1966-04-12;-1.3;12;4;1966
"103";"Kasprowy Wierch";1966-04-13;-1.8;13;4;1966
"104";"Kasprowy Wierch";1966-04-14;-0.6;14;4;1966
"105";"Kasprowy Wierch";1966-04-15;0.2;15;4;1966
"106";"Kasprowy Wierch";1966-04-16;-1.1;16;4;1966
"107";"Kasprowy Wierch";1966-04-17;0.1;17;4;1966
"108";"Kasprowy Wierch";1966-04-18;-1.7;18;4;1966
"109";"Kasprowy Wierch";1966-04-19;1;19;4;1966
"110";"Kasprowy Wierch";1966-04-20;0.3;20;4;1966
"111";"Kasprowy Wierch";1966-04-21;1.7;21;4;1966
"112";"Kasprowy Wierch";1966-04-22;-6.6;22;4;1966
"113";"Kasprowy Wierch";1966-04-23;0.7;23;4;1966
"114";"Kasprowy Wierch";1966-04-24;3.4;24;4;1966
"115";"Kasprowy Wierch";1966-04-25;3.4;25;4;1966
"116";"Kasprowy Wierch";1966-04-26;3.2;26;4;1966
"117";"Kasprowy Wierch";1966-04-27;4.8;27;4;1966
"118";"Kasprowy Wierch";1966-04-28;6.1;28;4;1966
"119";"Kasprowy Wierch";1966-04-29;3.7;29;4;1966
"120";"Kasprowy Wierch";1966-04-30;1.7;30;4;1966
"121";"Kasprowy Wierch";1966-05-01;2.6;1;5;1966
"122";"Kasprowy Wierch";1966-05-02;4.3;2;5;1966
"123";"Kasprowy Wierch";1966-05-03;7.6;3;5;1966
"124";"Kasprowy Wierch";1966-05-04;7.7;4;5;1966
"125";"Kasprowy Wierch";1966-05-05;7.6;5;5;1966
"126";"Kasprowy Wierch";1966-05-06;6.5;6;5;1966
"127";"Kasprowy Wierch";1966-05-07;5.4;7;5;1966
"128";"Kasprowy Wierch";1966-05-08;6.5;8;5;1966
"129";"Kasprowy Wierch";1966-05-09;3.4;9;5;1966
"130";"Kasprowy Wierch";1966-05-10;-0.1;10;5;1966
"131";"Kasprowy Wierch";1966-05-11;0.6;11;5;1966
"132";"Kasprowy Wierch";1966-05-12;1.6;12;5;1966
"133";"Kasprowy Wierch";1966-05-13;3.9;13;5;1966
"134";"Kasprowy Wierch";1966-05-14;6.7;14;5;1966
"135";"Kasprowy Wierch";1966-05-15;7.9;15;5;1966
"136";"Kasprowy Wierch";1966-05-16;6.4;16;5;1966
"137";"Kasprowy Wierch";1966-05-17;5.8;17;5;1966
"138";"Kasprowy Wierch";1966-05-18;4.8;18;5;1966
"139";"Kasprowy Wierch";1966-05-19;3.5;19;5;1966
"140";"Kasprowy Wierch";1966-05-20;2.7;20;5;1966
"141";"Kasprowy Wierch";1966-05-21;-0.3;21;5;1966
"142";"Kasprowy Wierch";1966-05-22;1.9;22;5;1966
"143";"Kasprowy Wierch";1966-05-23;6.2;23;5;1966
"144";"Kasprowy Wierch";1966-05-24;0.1;24;5;1966
"145";"Kasprowy Wierch";1966-05-25;0.9;25;5;1966
"146";"Kasprowy Wierch";1966-05-26;0.3;26;5;1966
"147";"Kasprowy Wierch";1966-05-27;-0.4;27;5;1966
"148";"Kasprowy Wierch";1966-05-28;-1.9;28;5;1966
"149";"Kasprowy Wierch";1966-05-29;-5.3;29;5;1966
"150";"Kasprowy Wierch";1966-05-30;-4.3;30;5;1966
"151";"Kasprowy Wierch";1966-05-31;-3.7;31;5;1966
"152";"Kasprowy Wierch";1966-06-01;-1.5;1;6;1966
"153";"Kasprowy Wierch";1966-06-02;0.8;2;6;1966
"154";"Kasprowy Wierch";1966-06-03;-1.9;3;6;1966
"155";"Kasprowy Wierch";1966-06-04;1.5;4;6;1966
"156";"Kasprowy Wierch";1966-06-05;7.8;5;6;1966
"157";"Kasprowy Wierch";1966-06-06;5.8;6;6;1966
"158";"Kasprowy Wierch";1966-06-07;5.8;7;6;1966
"159";"Kasprowy Wierch";1966-06-08;7.5;8;6;1966
"160";"Kasprowy Wierch";1966-06-09;8.3;9;6;1966
"161";"Kasprowy Wierch";1966-06-10;8.4;10;6;1966
"162";"Kasprowy Wierch";1966-06-11;9.5;11;6;1966
"163";"Kasprowy Wierch";1966-06-12;9.8;12;6;1966
"164";"Kasprowy Wierch";1966-06-13;9.1;13;6;1966
"165";"Kasprowy Wierch";1966-06-14;9.6;14;6;1966
"166";"Kasprowy Wierch";1966-06-15;10.5;15;6;1966
"167";"Kasprowy Wierch";1966-06-16;11;16;6;1966
"168";"Kasprowy Wierch";1966-06-17;11.6;17;6;1966
"169";"Kasprowy Wierch";1966-06-18;9.8;18;6;1966
"170";"Kasprowy Wierch";1966-06-19;7.2;19;6;1966
"171";"Kasprowy Wierch";1966-06-20;6.2;20;6;1966
"172";"Kasprowy Wierch";1966-06-21;4.6;21;6;1966
"173";"Kasprowy Wierch";1966-06-22;4.3;22;6;1966
"174";"Kasprowy Wierch";1966-06-23;7;23;6;1966
"175";"Kasprowy Wierch";1966-06-24;8.7;24;6;1966
"176";"Kasprowy Wierch";1966-06-25;4.7;25;6;1966
"177";"Kasprowy Wierch";1966-06-26;1.4;26;6;1966
"178";"Kasprowy Wierch";1966-06-27;2.5;27;6;1966
"179";"Kasprowy Wierch";1966-06-28;3.1;28;6;1966
"180";"Kasprowy Wierch";1966-06-29;0;29;6;1966
"181";"Kasprowy Wierch";1966-06-30;2.5;30;6;1966
"182";"Kasprowy Wierch";1966-07-01;3.7;1;7;1966
"183";"Kasprowy Wierch";1966-07-02;5.4;2;7;1966
"184";"Kasprowy Wierch";1966-07-03;7.4;3;7;1966
"185";"Kasprowy Wierch";1966-07-04;10.7;4;7;1966
"186";"Kasprowy Wierch";1966-07-05;11.9;5;7;1966
"187";"Kasprowy Wierch";1966-07-06;8.9;6;7;1966
"188";"Kasprowy Wierch";1966-07-07;5.8;7;7;1966
"189";"Kasprowy Wierch";1966-07-08;0.3;8;7;1966
"190";"Kasprowy Wierch";1966-07-09;1.6;9;7;1966
"191";"Kasprowy Wierch";1966-07-10;4.6;10;7;1966
"192";"Kasprowy Wierch";1966-07-11;5.8;11;7;1966
"193";"Kasprowy Wierch";1966-07-12;5.6;12;7;1966
"194";"Kasprowy Wierch";1966-07-13;7.9;13;7;1966
"195";"Kasprowy Wierch";1966-07-14;9.6;14;7;1966
"196";"Kasprowy Wierch";1966-07-15;6.3;15;7;1966
"197";"Kasprowy Wierch";1966-07-16;4.7;16;7;1966
"198";"Kasprowy Wierch";1966-07-17;7.9;17;7;1966
"199";"Kasprowy Wierch";1966-07-18;10.2;18;7;1966
"200";"Kasprowy Wierch";1966-07-19;11.9;19;7;1966
"201";"Kasprowy Wierch";1966-07-20;11.2;20;7;1966
"202";"Kasprowy Wierch";1966-07-21;8.5;21;7;1966
"203";"Kasprowy Wierch";1966-07-22;8;22;7;1966
"204";"Kasprowy Wierch";1966-07-23;7.7;23;7;1966
"205";"Kasprowy Wierch";1966-07-24;7.2;24;7;1966
"206";"Kasprowy Wierch";1966-07-25;7.6;25;7;1966
"207";"Kasprowy Wierch";1966-07-26;4.3;26;7;1966
"208";"Kasprowy Wierch";1966-07-27;4.9;27;7;1966
"209";"Kasprowy Wierch";1966-07-28;7;28;7;1966
"210";"Kasprowy Wierch";1966-07-29;5.2;29;7;1966
"211";"Kasprowy Wierch";1966-07-30;7.1;30;7;1966
"212";"Kasprowy Wierch";1966-07-31;6.6;31;7;1966
"213";"Kasprowy Wierch";1966-08-01;6.8;1;8;1966
"214";"Kasprowy Wierch";1966-08-02;6.5;2;8;1966
"215";"Kasprowy Wierch";1966-08-03;6.6;3;8;1966
"216";"Kasprowy Wierch";1966-08-04;8.7;4;8;1966
"217";"Kasprowy Wierch";1966-08-05;7.4;5;8;1966
"218";"Kasprowy Wierch";1966-08-06;3.6;6;8;1966
"219";"Kasprowy Wierch";1966-08-07;4.7;7;8;1966
"220";"Kasprowy Wierch";1966-08-08;6.7;8;8;1966
"221";"Kasprowy Wierch";1966-08-09;5.3;9;8;1966
"222";"Kasprowy Wierch";1966-08-10;3.1;10;8;1966
"223";"Kasprowy Wierch";1966-08-11;8.4;11;8;1966
"224";"Kasprowy Wierch";1966-08-12;9.3;12;8;1966
"225";"Kasprowy Wierch";1966-08-13;13.2;13;8;1966
"226";"Kasprowy Wierch";1966-08-14;15.2;14;8;1966
"227";"Kasprowy Wierch";1966-08-15;12.5;15;8;1966
"228";"Kasprowy Wierch";1966-08-16;10.3;16;8;1966
"229";"Kasprowy Wierch";1966-08-17;12;17;8;1966
"230";"Kasprowy Wierch";1966-08-18;14.8;18;8;1966
"231";"Kasprowy Wierch";1966-08-19;14.2;19;8;1966
"232";"Kasprowy Wierch";1966-08-20;11.1;20;8;1966
"233";"Kasprowy Wierch";1966-08-21;7.2;21;8;1966
"234";"Kasprowy Wierch";1966-08-22;6.9;22;8;1966
"235";"Kasprowy Wierch";1966-08-23;6.7;23;8;1966
"236";"Kasprowy Wierch";1966-08-24;3.6;24;8;1966
"237";"Kasprowy Wierch";1966-08-25;2.1;25;8;1966
"238";"Kasprowy Wierch";1966-08-26;3.2;26;8;1966
"239";"Kasprowy Wierch";1966-08-27;2.6;27;8;1966
"240";"Kasprowy Wierch";1966-08-28;2.8;28;8;1966
"241";"Kasprowy Wierch";1966-08-29;3.3;29;8;1966
"242";"Kasprowy Wierch";1966-08-30;5.9;30;8;1966
"243";"Kasprowy Wierch";1966-08-31;4.7;31;8;1966
"244";"Kasprowy Wierch";1966-09-01;3.8;1;9;1966
"245";"Kasprowy Wierch";1966-09-02;3.9;2;9;1966
"246";"Kasprowy Wierch";1966-09-03;5.9;3;9;1966
"247";"Kasprowy Wierch";1966-09-04;3.9;4;9;1966
"248";"Kasprowy Wierch";1966-09-05;6.2;5;9;1966
"249";"Kasprowy Wierch";1966-09-06;2;6;9;1966
"250";"Kasprowy Wierch";1966-09-07;5.8;7;9;1966
"251";"Kasprowy Wierch";1966-09-08;6.6;8;9;1966
"252";"Kasprowy Wierch";1966-09-09;3.6;9;9;1966
