area;continent;country;plants;ants;amphibians;reptiles;fish;birds;mammals;spider;area;mainl;popdens;GDP;MAT;MAP;N;E
Aruba;America_S;Aruba;32;10;2;7;NA;3;5;NA;206.3955792;ISL;412.2044687;24289.1;273.1653226;419.2217742;12.51668736;-69.97713313
Ascension;Africa;St_Helena;157;8;0;1;NA;6;6;1;98.41528451;ISL;5.012754817;34266.97;253.1864407;189;-7.938079755;-14.3632866
Alaska;America_N;USA;288;NA;2;0;0;1;21;6;1302450.175;MAINL;0.384246936;45826;-60.72612274;375.1608133;64.89113421;-153.6829385
Amsterdam-St._Paul_Is.;Antarctic;Amsterdam-St._Paul_Is.;NA;NA;NA;NA;NA;3;4;NA;71.99472505;ISL;0;31299.3;127.8785047;1147.588785;-37.97877628;77.53284994
Assam;Asia_Trop;India;297;4;NA;NA;NA;1;2;NA;79090.62639;MAINL;332.7303922;2080.76;237.8481453;2407.934783;26.3430472;92.8312049
Manipur;Asia_Trop;India;259;4;NA;NA;NA;1;2;NA;21742.58218;MAINL;107.4419651;2061;200.7103172;1899.056204;24.72499615;93.88349026
Meghalaya;Asia_Trop;India;276;7;NA;NA;NA;1;2;NA;22516.64666;MAINL;106.5898138;3133;214.0746171;3914.385722;25.53506569;91.28002793
Mizoram;Asia_Trop;India;251;1;NA;NA;NA;1;2;NA;20851.10398;MAINL;42.35676402;2080.76;226.0175783;2481.039268;23.29777463;92.83116618
Nagaland;Asia_Trop;India;260;NA;NA;NA;NA;1;2;NA;16640.54948;MAINL;NA;3369;195.6257515;1956.679817;26.04609971;94.44951099
Tripura;Asia_Trop;India;256;2;NA;NA;NA;1;2;NA;10448.06016;MAINL;315.7434249;2880;249.4714543;2291.742338;23.7399447;91.73472672
Antipodean_Is.;Australasia;New_Zealand;36;NA;NA;NA;0;13;5;NA;860.910406;ISL;0;NA;68.44987469;1429.771303;-50.99242823;167.927082
Austria;Europe;Austria;257;NA;0;1;15;5;12;11;83956.92921;MAINL;96.62948597;38586;57.58577733;1043.934821;47.59295853;14.13999212
Liechtenstein;Europe;Liechtenstein;77;NA;1;1;1;0;3;2;175.2701099;MAINL;208.3878005;140707.1;62.26262626;1214.922559;47.15259548;9.555264926
Azores;Africa;Portugal;760;12;2;2;6;6;12;10;2102.082761;ISL;94.73782702;19785.7;159.4064702;1114.956118;38.2706244;-27.06916208
Bahamas;America_S;Bahamas;45;26;4;11;4;13;10;6;12812.95752;ISL;17.44358153;21940.7;251.7671777;1040.366579;24.1666829;-76.5004385
Baleares;Europe;Spain;183;14;4;17;NA;6;22;5;5101.695964;ISL;152.6073817;28762.98;162.4779335;585.2899792;39.55938907;2.900068554
Bangladesh;Asia_Trop;Bangladesh;NA;7;NA;NA;8;1;6;NA;138820.2937;MAINL;916.7046352;1085.53;255.1616404;2229.345017;23.83299497;90.27093153
Benin;Africa;Benin;333;NA;0;2;1;1;6;NA;116173.1119;MAINL;62.05897834;1163.72;271.8131021;1063.100902;9.647652716;2.343259931
Bermuda;America_S;Bermuda;60;17;2;5;NA;16;6;3;40.25152058;ISL;562.6171676;88207.3;215.462963;1475.740741;32.31349498;-64.75637722
Belgium;Europe;Belgium;508;2;4;0;23;11;11;19;30640.69518;MAINL;336.5305715;35558.52;94.41168813;859.2642223;50.64294584;4.664357678
Luxembourg;Europe;Luxembourg;105;NA;0;1;2;3;8;1;2583.234462;MAINL;170.9800838;73242.97;87.12922679;853.9420633;49.77095611;6.087551964
Bismarck_Archipelago;Asia_Trop;Papua_New_Guinea;NA;11;NA;NA;NA;2;14;2;48922.81203;ISL;11.97336956;NA;247.5996658;3423.330821;-4.936901663;150.6265362
Burkina;Africa;Burkina_Faso;149;NA;NA;NA;1;1;6;NA;272333.4353;MAINL;41.31807168;577.9;280.6697725;764.0182665;12.27792186;-1.739834269
Belarus;Europe;Belarus;187;NA;0;0;10;2;8;5;207723.3836;MAINL;48.23797762;NA;62.17644796;624.7167989;53.5402221;28.04696571
Estonia;Europe;Estonia;126;NA;0;0;4;2;7;3;45977.99801;MAINL;28.49828393;17017.47;51.44397275;628.8217102;58.67400787;25.5257709
Kaliningrad;Europe;Russia;NA;NA;NA;NA;NA;2;6;NA;13551.04876;MAINL;66.88245528;NA;70.47101236;720.188015;54.70554671;21.44380447
Latvia;Europe;Latvia;274;NA;0;0;10;1;7;4;64630.97623;MAINL;35.56234048;12030.63;56.48138983;659.8596591;56.85766939;24.92915332
Lithuania;Europe;Lithuania;259;NA;0;0;5;2;8;4;65047.52068;MAINL;53.52936204;14136.06;61.86926424;663.3302818;55.33585013;23.89683075
Belize;America_S;Belize;62;8;0;5;1;2;7;2;22141.78622;MAINL;9.786265464;4527.3;248.3880536;2043.308707;17.2185052;-88.68282364
Bolivia;America_S;Bolivia;198;5;0;1;10;2;8;NA;1086530.726;MAINL;7.62553214;1934.7;204.2344051;1149.482314;-16.71511345;-64.67053986
Brunei;Asia_Trop;Brunei;NA;3;NA;NA;3;3;9;NA;5749.110592;ISL;54.35171977;31453;269.1913791;3331.944156;4.521478381;114.7613209
Kalimantan;Asia_Trop;Indonesia;NA;2;NA;NA;NA;3;11;2;537165.1398;ISL;21.08141501;3137.4;256.3323987;2930.90986;-0.187363074;113.9941077
Sabah;Asia_Trop;Malaysia;NA;6;NA;NA;NA;9;9;NA;74077.83558;ISL;32.21572004;NA;253.2745682;2470.023537;5.348510259;117.1298846
Sarawak;Asia_Trop;Malaysia;NA;8;NA;NA;NA;6;8;NA;123178.4922;ISL;16.19967898;NA;253.0643334;3655.797309;2.592968144;113.3037472
Botswana;Africa;Botswana;170;NA;NA;NA;4;3;8;1;578324.768;MAINL;3.038004212;6492.9;208.1585675;394.0184957;-22.18204586;23.81507477
Bouvet_I.;Antarctic;Bouvet_I.;NA;NA;0;0;NA;0;0;NA;58.26231413;ISL;0;NA;65.53913043;3219.069565;-54.42178759;3.412458431
British_Columbia;America_N;Canada;934;3;3;5;5;9;22;17;770857.2486;MAINL;3.170484941;35304;5.66060509;707.9317292;55.02287816;-124.4698285
Buryatiya;Asia_Temp;Russia;41;NA;NA;NA;NA;1;5;NA;352357.042;MAINL;3.023160525;8351;-55.57325906;434.2270353;53.55446059;109.5025411
Bulgaria;Europe;Bulgaria;610;3;0;1;16;1;9;7;111006.2242;MAINL;71.70972748;10588.96;102.1650038;609.425399;42.76135302;25.2313767
Burundi;Africa;Burundi;187;NA;NA;NA;3;0;6;NA;27181.5728;MAINL;241.0124417;219.5;197.3615452;1192.276972;-3.356304234;29.88681075
Brasilia_Distrito_Federal;America_S;Brazil;130;NA;NA;NA;7;0;7;2;5863.843619;MAINL;355.0882896;11171.53;213.7618445;1491.12442;-15.77139677;-47.79044835
Goias;America_S;Brazil;127;5;NA;NA;4;3;7;1;342764.2415;MAINL;15.03116817;11171.53;241.000271;1530.253387;-16.00574266;-49.59216032
Mato_Grosso_do_Sul;America_S;Brazil;112;4;NA;NA;2;3;8;1;355795.9765;MAINL;5.980685307;7693.31;241.3329002;1389.452818;-20.33582373;-54.83660983
Mato_Grosso;America_S;Brazil;113;6;NA;NA;2;2;7;3;903616.3183;MAINL;2.831505826;4385.89;247.7232813;1812.020818;-12.96428624;-55.92252586
Alagoas;America_S;Brazil;72;2;NA;NA;1;2;7;NA;28014.48713;MAINL;101.0849367;3309;241.8722117;1068.870466;-9.512672396;-36.62650544
Bahia;America_S;Brazil;179;14;NA;NA;7;3;10;4;560001.0509;MAINL;21.0359486;4627;234.6392068;867.8729015;-12.4751082;-41.70392506
Ceara;America_S;Brazil;108;6;NA;NA;4;2;7;NA;149490.5317;MAINL;48.79826192;3871;257.7238114;857.8519826;-5.10290094;-39.62316019
Fernando_de_Noronha;America_S;Brazil;NA;5;NA;NA;NA;0;7;NA;22.07490899;ISL;70.25505096;NA;267.5;1352.923077;-3.860703561;-32.42022997
Maranhao;America_S;Brazil;82;4;NA;NA;2;2;7;1;326229.2646;MAINL;16.96980197;2892;263.9580453;1502.053963;-5.087670998;-45.2884004
Paraiba;America_S;Brazil;102;2;NA;NA;7;2;8;1;56592.72861;MAINL;62.03008426;3564;241.5248831;779.7301085;-7.118993779;-36.8229609
Pernambuco;America_S;Brazil;139;5;NA;NA;3;3;7;4;97538.62853;MAINL;82.64941245;4547;234.1961591;744.9111585;-8.329462925;-37.99262821
Piaui;America_S;Brazil;72;1;NA;NA;2;2;7;1;252176.7473;MAINL;11.46333141;2973;259.8224268;995.7404583;-7.407952849;-42.98506567
Rio_Grande_do_Norte;America_S;Brazil;70;1;NA;NA;3;3;7;1;52807.73803;MAINL;53.27143511;4289;260.3801903;725.1548035;-5.842243181;-36.6822059
Sergipe;America_S;Brazil;46;3;NA;NA;3;2;8;NA;21476.86283;MAINL;78.59490519;4863;244.4659749;983.5113156;-10.58053533;-37.44585369
Espirito_Santo;America_S;Brazil;155;3;NA;NA;3;3;10;1;45783.96942;MAINL;61.76291361;9818;228.8595391;1182.600025;-19.57304471;-40.66751565
Minas_Gerais;America_S;Brazil;226;10;NA;NA;13;3;9;3;586707.35;MAINL;31.19416123;7534;217.4373544;1259.740872;-18.45197695;-44.67354281
Rio_de_Janeiro;America_S;Brazil;207;8;NA;NA;17;5;11;7;43936.07597;MAINL;317.4855139;10699;215.1438601;1329.44212;-22.19033651;-42.66603589
Sao_Paulo;America_S;Brazil;315;12;NA;NA;12;2;17;9;247739.729;MAINL;152.38774;12705;208.1667493;1353.790935;-22.26103654;-48.7218507
Trindade;America_S;Brazil;NA;NA;NA;NA;NA;0;3;NA;10.26790529;ISL;0;NA;252;724.1666667;-20.50026543;-30.31835308
Acre;America_S;Brazil;75;5;NA;NA;1;2;7;1;152128.1229;MAINL;3.864167262;4856;253.7787998;1946.566676;-9.302216249;-70.48182131
Amazonas;America_S;Brazil;111;9;NA;NA;4;4;7;4;1566064.754;MAINL;1.84503419;7693.31;262.3207547;2540.671423;-4.18918209;-64.71902655
Amapa;America_S;Brazil;56;NA;NA;NA;2;2;7;2;139479.956;MAINL;3.043708432;4385.89;259.7993678;2594.973261;1.448617435;-51.96011137
Para;America_S;Brazil;111;8;NA;NA;3;3;8;6;1235145.635;MAINL;4.734636273;7693.31;259.5880516;2140.84781;-4.035678997;-53.12350521
Roraima;America_S;Brazil;42;3;NA;NA;1;2;7;NA;224921.0736;MAINL;1.473617863;7693.31;262.0107526;1872.122326;2.069108653;-61.40128747
Rondonia;America_S;Brazil;32;2;NA;NA;2;2;7;NA;238447.2344;MAINL;6.004791058;7693.31;248.2882315;1885.823955;-10.92011687;-62.84391904
Tocantins;America_S;Brazil;35;NA;NA;NA;1;2;7;NA;276472.7622;MAINL;4.295086599;11171.53;261.4163283;1679.907816;-10.1180597;-48.32330914
Parana;America_S;Brazil;238;5;NA;NA;13;3;9;1;198612.9141;MAINL;48.68274682;8742;189.7665186;1557.019525;-24.63153311;-51.61969717
Rio_Grande_do_Sul;America_S;Brazil;229;6;NA;NA;10;4;9;9;271231.1515;MAINL;37.76260722;9921;185.7884933;1560.606409;-29.7333324;-53.31727159
Santa_Catarina;America_S;Brazil;230;7;NA;NA;8;3;11;6;94817.83357;MAINL;54.998666;10255;173.3290579;1669.556734;-27.24814792;-50.48760737
Cabinda;Africa;Angola;NA;NA;NA;NA;NA;1;6;NA;6981.714896;MAINL;31.12761574;NA;247.1530115;1073.948183;-5.041229577;12.46228731
Central_African_Republic;Africa;Central_African_Republic;57;1;0;1;5;0;6;NA;618575.1323;MAINL;5.953591829;456.6;248.9981141;1367.884122;6.571447681;20.48276784
California;America_N;USA;1753;25;9;16;29;35;23;39;407759.0096;MAINL;81.51516608;44046;136.3018011;543.3102782;37.23999046;-119.5874549
Cayman_Is.;America_S;Cayman_Islands;218;8;1;8;1;7;8;NA;306.3884687;ISL;103.9246478;58857;264.0379404;1335.680217;19.431525;-80.82909683
Cambodia;Asia_Trop;Cambodia;NA;5;0;2;13;2;6;NA;182007.3224;MAINL;70.15895949;782.7;267.2878377;1782.165876;12.7140315;104.9212402
Chagos_Archipelago;Africa;United_Kingdom;130;9;0;1;NA;6;3;NA;104.4548233;ISL;0;NA;273.1666667;2482.391667;-7.081251358;72.28982913
Chad;Africa;Chad;278;NA;NA;NA;1;1;6;NA;1271887.647;MAINL;6.501648147;736;269.2694787;315.3229441;15.3611377;18.66460375
Chongqing;Asia_Temp;China;58;NA;NA;NA;NA;1;5;NA;81853.16096;MAINL;371.5978694;10398.98;155.7836789;1224.902478;30.0572387;107.8677783
Guizhou;Asia_Temp;China;227;2;NA;NA;NA;1;5;1;176005.1345;MAINL;202.5514099;3127;154.5983615;1198.713358;26.80880303;106.8705846
Hubei;Asia_Temp;China;196;4;NA;NA;NA;1;5;1;185939.4534;MAINL;319.3186718;6590;151.0699623;1164.220791;30.97345725;112.2608687
Sichuan;Asia_Temp;China;250;5;NA;NA;NA;1;5;6;481010.7179;MAINL;171.464489;10398.98;84.00557109;898.9237554;30.5883367;102.739738
Yunnan;Asia_Temp;China;395;10;NA;NA;NA;1;4;6;383137.2633;MAINL;111.0953667;3711;154.4052594;1137.382393;24.97668132;101.486931
Hainan;Asia_Temp;China;244;6;NA;NA;NA;1;6;6;34026.08505;ISL;218.9199196;7746.07;240.3740114;1484.334774;19.20103623;109.7420098
Nei_Mongol;Asia_Temp;China;145;NA;NA;NA;NA;2;5;NA;1150936.868;MAINL;20.62029233;7295.74;31.51814176;298.3222111;44.06270526;113.8562748
Ningxia;Asia_Temp;China;109;1;NA;NA;NA;1;4;NA;51938.57218;MAINL;106.3998646;7295.74;77.09801806;307.7158424;37.27292648;106.1541306
Heilongjiang;Asia_Temp;China;151;1;NA;NA;NA;1;5;NA;451488.88;MAINL;80.23840468;6395;8.454532438;553.5969856;47.86654263;127.7523268
Jilin;Asia_Temp;China;134;NA;NA;NA;NA;2;5;1;191812.5018;MAINL;140.4800804;7459;39.27333496;626.4132717;43.67329592;126.1869423
Liaoning;Asia_Temp;China;155;1;NA;NA;NA;2;4;1;146956.4019;MAINL;284.3593454;9974;76.06884912;699.7952767;41.29775538;122.6120578
Beijing;Asia_Temp;China;123;1;NA;NA;NA;2;4;1;16551.12541;MAINL;823.5663909;17006;99.4689223;558.8738249;40.17519956;116.405373
Gansu;Asia_Temp;China;148;1;NA;NA;NA;1;4;NA;380454.5264;MAINL;65.49789271;7295.74;58.66668748;306.8589996;37.73762835;101.2225229
Hebei;Asia_Temp;China;193;NA;NA;NA;NA;2;4;2;186867.5447;MAINL;359.6860416;6702;90.96733681;504.1196717;39.53587817;116.1131205
Shaanxi;Asia_Temp;China;164;3;NA;NA;NA;1;4;2;203526.6201;MAINL;174.2634249;6408;105.4184727;652.7318067;35.15820129;108.8611469
Shandong;Asia_Temp;China;176;6;NA;NA;NA;2;4;2;155433.7859;MAINL;578.2976751;9658;130.0389087;672.2437225;36.34580724;118.1392236
Shanxi;Asia_Temp;China;137;NA;NA;NA;NA;2;4;NA;156207.9291;MAINL;208.9667119;6086;79.130438;509.2012497;37.56877352;112.2850082
Tianjin;Asia_Temp;China;86;NA;NA;NA;NA;2;4;1;11266.89176;MAINL;861.3469134;16788;120.806322;552.0935303;39.28387049;117.3080464
Qinghai;Asia_Temp;China;118;1;NA;NA;NA;1;5;NA;734153.8179;MAINL;7.021445223;5671;-21.00357305;294.7405979;35.77342914;96.04684807
Anhui;Asia_Temp;China;184;2;NA;NA;NA;2;5;2;140127.1009;MAINL;424.0883761;4905;155.8505189;1122.035172;31.82003385;117.2273851
Fujian;Asia_Temp;China;312;10;NA;NA;NA;3;6;3;120787.0885;MAINL;266.189027;9434;182.3562275;1673.027663;26.0753818;117.9675578
Guangdong;Asia_Temp;China;387;15;NA;NA;NA;3;6;5;176505.1867;MAINL;502.065409;5248.93;210.8093204;1689.871669;23.34847412;113.4101728
Guangxi;Asia_Temp;China;303;12;NA;NA;NA;2;6;3;236531.8287;MAINL;186.1618842;4908;202.0115171;1512.322532;23.83116833;108.7855299
Henan;Asia_Temp;China;171;4;NA;NA;NA;2;5;NA;166030.0341;MAINL;553.0589277;5805;141.7225558;750.0872946;33.87827834;113.6069562
Hong_Kong;Asia_Temp;China;167;11;0;3;8;26;11;2;1061.389794;MAINL;4962.003738;32550.1;222.3597923;2107.62908;22.37770246;114.1129083
Hunan;Asia_Temp;China;201;7;NA;NA;NA;2;5;4;210987.4762;MAINL;302.2529665;5771;166.8496343;1437.934065;27.61617559;111.702058
Jiangsu;Asia_Temp;China;234;3;NA;NA;NA;2;5;NA;99527.62073;MAINL;702.2621835;12446;148.5225284;929.1092862;32.97741605;119.4393083
Jiangxi;Asia_Temp;China;212;2;NA;NA;NA;3;6;3;167628.4743;MAINL;243.3194807;5008;176.9559444;1571.934481;27.61682537;115.7152356
Kin-Men;Asia_Temp;China;NA;NA;NA;NA;NA;2;6;NA;171.8773789;ISL;494.3971461;NA;217.0909091;989.8045455;24.44164825;118.3653615
Macau;Asia_Temp;China;83;4;0;0;NA;1;5;NA;6.806896312;MAINL;35021.46392;53046;227.6;1815.1;22.1995404;113.5449681
Ma-tsu-Pai-ch?an;Asia_Temp;China;NA;NA;NA;NA;NA;1;6;NA;30.6630873;ISL;49.90144936;NA;189.25;1331.2;26.18449867;119.9594503
Shanghai;Asia_Temp;China;94;3;NA;NA;NA;2;4;1;5884.601488;MAINL;2695.68606;17622;160.0870541;1043.929284;31.17169808;121.4132633
Zhejiang;Asia_Temp;China;229;9;NA;NA;NA;2;4;4;99911.38177;MAINL;440.2019144;12032;161.6282334;1558.272465;29.16724629;120.060059
Tibet;Asia_Temp;China;151;1;NA;NA;NA;1;4;1;1133792.991;MAINL;2.374040801;3986;-24.44032821;293.6810998;31.712301;88.11841654
Xinjiang;Asia_Temp;China;161;NA;1;NA;3;2;5;NA;1631778.294;MAINL;11.42405936;5883;51.97136616;106.8547311;41.12316666;85.25096208
Cocos_(Keeling)_Is.;Asia_Trop;Cocos_(Keeling)_Islands;58;11;0;3;NA;1;1;NA;28.73739314;ISL;7.357715387;41107.48;265.8157895;1940.342105;-12.17188243;96.85559708
Biobio;America_S;Chile;319;1;NA;NA;10;3;11;2;35990.2849;MAINL;48.58771918;8324;111.1803142;1334.926159;-37.17970894;-72.26743353
Coquimbo;America_S;Chile;180;1;NA;NA;4;3;10;2;39500.89354;MAINL;14.77464053;9485;96.22176756;148.2203288;-30.62526311;-70.88652
La_Araucania;America_S;Chile;301;1;NA;NA;4;3;11;NA;32651.2719;MAINL;25.95160073;NA;101.4119123;1555.618043;-38.62280503;-72.24781466
Maule;America_S;Chile;278;1;NA;NA;7;3;11;1;30559.12655;MAINL;31.74287017;7285.92;109.3389296;919.4310743;-35.62015061;-71.44928597
O?Higgins;America_S;Chile;NA;NA;NA;NA;4;3;10;NA;15858.3796;MAINL;49.16784916;10985;116.0833185;723.8732363;-34.4434151;-71.04813298
Santiago;America_S;Chile;299;1;NA;NA;9;3;10;2;15828.96234;MAINL;387.1437805;14873.59;100.6827088;492.2966591;-33.61157321;-70.64335484
Valparaiso;America_S;Chile;311;6;NA;NA;8;3;10;NA;16066.64276;MAINL;95.18601614;9908;119.1715389;376.1824958;-32.7937111;-70.97797856
Colombia;America_S;Colombia;296;19;2;1;36;6;10;12;1135625.489;MAINL;36.76898042;7534.48;245.8377386;2670.69802;3.899940025;-73.07536004
Antofagasta;America_S;Chile;92;NA;NA;NA;1;2;9;4;124575.0972;MAINL;3.943090359;42173.79;119.1089778;20.49371791;-23.46957094;-69.11992217
Atacama;America_S;Chile;113;NA;NA;NA;0;2;10;1;77956.18686;MAINL;3.293847385;18565;95.26505424;44.13465087;-27.36817479;-69.90115182
Tarapaca;America_S;Chile;99;NA;NA;NA;0;1;9;1;57065.64795;MAINL;7.403107175;17194.36;110.5536176;78.45755363;-19.70296898;-69.47903129
Aisen;America_S;Chile;59;NA;NA;NA;8;1;12;NA;76671.29567;MAINL;1.01814395;9344.71;66.82674258;1981.780357;-46.28323301;-73.3600189
Los_Lagos;America_S;Chile;272;1;NA;NA;10;2;12;1;61314.77344;MAINL;17.41206181;6438;94.11531294;1965.364784;-41.32767266;-72.87384001
Magellanes;America_S;Chile;141;1;NA;NA;6;1;15;1;102740.9464;MAINL;1.183711509;12004.52;54.7489731;1529.17258;-52.60010916;-71.70267714
Cameroon;Africa;Cameroon;296;6;0;1;3;0;6;3;464799.9248;MAINL;31.76042612;1742.69;242.8508563;1643.61148;5.685796322;12.74325047
Connecticut;America_N;USA;1109;2;1;2;5;6;7;8;12844.37342;MAINL;260.8719415;56193;91.88779951;1212.773148;41.62574308;-72.72758095
Canary_Is.;Africa;Spain;548;23;3;8;NA;12;15;14;7521.101562;ISL;201.1212193;27332.01;175.776362;286.6679041;28.33813028;-15.67748558
Colorado;America_N;USA;588;3;1;1;9;7;11;10;271032.6308;MAINL;15.97425025;43819;63.99277082;434.2335047;38.99914653;-105.5337039
Comoros;Africa;Comoros;3;31;0;7;1;9;6;4;1724.22151;ISL;301.2994798;NA;227.0692829;2077.72093;-11.89337767;43.67623201
Mayotte;Africa;Comoros;NA;NA;0;1;NA;9;12;NA;449.4247412;ISL;304.0138955;NA;254.108209;1268.73694;-12.81835006;45.13926174
Congo;Africa;Congo;56;2;NA;NA;9;0;7;NA;344043.6052;MAINL;10.00509226;2183.4;245.0303472;1654.783407;-0.840074754;15.22427245
Cook_Is.;Pacific;Cook_Islands;747;21;0;14;3;3;8;8;201.042446;ISL;64.73903556;NA;243.0967742;2016.112903;-20.68746738;-158.7919122
