m34k;m34n;m89k;m89n;m13k;m13n;m105k;m105n;m106k;m106n;m14k;m14n;m35k;m35n;m8bk;m8bn;m61k;m61n;m48ak;m48an;m41k;m41n
Crx.sem;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crx.ech;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crx.syl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cer.fon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cer.cer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cer.lan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cer.tat;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2
Cer.uni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cha.hir;0;0;0;0;3;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2
Chr.alt;0;0;0;0;0;0;2;3;0;0;2;3;0;0;2;0;0;0;0;0;0;0
Cic.alp;0;0;0;0;0;2;0;0;0;0;2;3;2;4;2;3;0;2;2;0;7;4
Cir.alp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crs.eri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crs.ole;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crs.pal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cle.alp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coc.tat;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coe.vir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cor.tri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cre.con;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cre.pal;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Cru.gla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cys.alp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
